year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
2009,95,94,17.7,4.117,0.7405,17717,5.34,1.9649881166467367,90.7,19.8,99.05887604,12.2,75.128,3.8
2010,95,94,22.7,3.9539999999999997,0.745,18395,5.36,5.11019849,91.42,19.1,99.236696,8.0,75.065,3.8
2011,97,95,12.8525,4.064,0.748,18834,5.729058823529385,4.044613879,92.14,18.5,99.57331848,6.8,75.01100000000001,3.25
2012,99,95,12.87485294117647,4.104,0.753,19291,5.80343438914025,4.018173869,92.86,17.9,99.111637,6.2035,74.96600000000001,2.7
2013,83,96,12.897205882352942,3.998,0.754,19331,5.877809954751115,1.3600771440000001,93.58,17.3,99.92144775,5.606943,74.93,2.85
2014,87,96,12.919558823529414,3.863,0.758,19654,5.952185520361979,2.265333945,94.3,16.7,99.172928,6.527277200000071,74.908,3.0
2015,87,96,12.941911764705885,3.7889999999999997,0.762,20084,6.026561085972844,2.629402213,93.9167,16.2,100.62379045929998,6.196592272727344,74.904,3.6512903225806213
2016,97,97.54461538461533,12.96426470588235,3.645,0.7714153846153842,20456,6.100936651583709,2.302705473,93.5333,15.7,100.87629157053846,5.865907345454616,74.917,3.3977419354838503
2017,110.75675675675666,98.11487179487176,12.986617647058821,4.68655200501253,0.7760316239316243,20669,6.175312217194545,1.1628323541116856,93.15,15.2,101.12879268177687,5.535222418181888,74.947,3.1441935483870793
2018,112.33001422475127,98.6851282051282,13.008970588235293,4.732901953158745,0.7806478632478626,20875,6.24968778280541,1.062562883794783,92.7667,14.7,101.38129379301535,5.204537490909161,74.992,2.8906451612903084
2019,113.90327169274542,99.25538461538463,13.031323529411765,4.779251901304974,0.7852641025641027,20962,6.324063348416274,0.9622934134779086,92.3833,14.2,101.63379490425382,4.873852563636433,79.07275394506132,2.6370967741935374
2020,115.47652916073957,99.82564102564106,13.053676470588236,4.825601849451203,0.7898803418803428,21399.28022598871,6.398438914027139,0.8620239431610344,92.0,-9.920395480226034,101.88629601549229,4.543167636363705,79.41282992402091,2.3835483870967664
