year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
2001,85.0,77,2.7285714285714295,0.242,0.4757,1928,2.8819999999999997,5.077287776,85.3619,81.6,33.78621292,21.66072953999992,65.956,31.86
2002,83.0,78,2.7357142857142875,0.247,0.4834,1990,2.9339999999999997,3.83312394,85.6429,77.0,36.098682399999994,20.333682298181884,66.43,30.02
2003,87.0,78,2.7428571428571438,0.256,0.4911,2074,2.986,4.739567398999999,85.9238,72.7,38.40781021,17.53850332,66.88600000000001,28.18
2004,99.0,79,2.8,0.267,0.4988,2170,3.0380000000000003,5.23953291,86.2048,68.6,40.6,17.0923,67.331,26.34
2005,93.0,80,2.6,0.275,0.5065,2277,3.09,6.535944941,86.4857,64.7,44.23,16.6462,67.773,24.5
2006,94.0,81,2.9,0.299,0.5142,2403,3.1639999999999997,6.671868265,86.7667,61.1,45.35409927,16.2,68.21300000000001,23.3
2007,94.0,81,2.7,0.301,0.5219,2530,3.238,7.058636206,87.0476,57.7,46.5,14.6003,68.648,22.1
2008,96.0,82,2.8,0.332,0.5296,2643,3.312,6.013789759,87.3286,54.5,50.03217697,13.0006,69.072,20.9
2009,97.0,83,2.9,0.35700000000000004,0.5373,2754,3.386,5.0451247939999995,87.6095,51.5,52.38521576,11.4009,69.485,19.7
2010,94.0,84,2.7,0.39399999999999996,0.545,2887,3.46,5.5718022739999995,87.8905,48.7,55.26,9.8012,69.881,18.5
2011,96.0,84,2.8000000000000025,0.41200000000000003,0.557,3040,3.5060000000000002,6.46438388,88.1714,46.1,59.6,8.2015,70.256,21.308730158730214
2012,94.0,85,2.8071428571428587,0.433,0.565,3196,3.552,6.521435078,88.4524,43.8,59.47932434,6.6018,70.60600000000001,20.475095785440544
2013,96.0,86,2.8142857142857167,0.442,0.57,3353,3.5980000000000003,6.013596067000001,88.7333,41.6,61.5,5.002084,70.93,19.641461412151102
2014,97.0,86,2.821428571428573,0.45899999999999996,0.575,3528,3.6439999999999997,6.061093054,89.0143,39.5,62.4,4.409115396363632,71.23100000000001,18.807827038861433
2015,97.0,87,2.828571428571431,0.494,0.579,3731,3.69,6.5526333160000005,89.2952,37.5,66.57633128737962,3.0820681545455955,71.514,17.97419266557199
2016,97.0,88.08307692307676,2.835714285714287,0.506,0.5930861538461549,3959,3.73,7.113489474,89.5762,35.7,68.92748076240241,1.7550209127271046,71.785,17.14055829228255
2017,122.08253968253939,88.84136752136737,2.842857142857145,0.38802192982456063,0.6009885470085479,4215,3.77,6.398485817752601,89.8571,33.9,71.2786302374252,0.42797367090906846,72.05199999999999,16.30692391899288
2018,125.05847275847282,89.59965811965799,2.8500000000000014,0.395357229280096,0.6088909401709408,4495,3.81,6.477271219183763,90.1381,32.3,73.62977971244891,-0.8990735709089677,72.32,15.473289545703437
2019,128.03440583440533,90.3579487179486,2.8571428571428594,0.4026925287356313,0.6167933333333337,4774,3.85,6.556056620614925,90.419,30.8,75.9809291874717,-2.2261208127274585,74.1058468731735,14.639655172413768
2020,131.01033891033876,91.11623931623922,2.8642857142857157,0.4100278281911667,0.6246957264957285,3271.345762711877,3.89,6.634842022046087,90.7,11.991412429379125,78.3320786624945,-3.5531680545454947,74.63192425482157,13.806020799124326
