Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Iran,,,0.000267027,0.000988668,0.023876644,0.027282076,0.0652,0.103,0.140891537,0.278515771,0.412876876,0.543899828,1.326240009,2.810378647,4.977062116,6.664099067,9.463216505,10.86343996,11.58205515
Iraq,,,,,,,,,0.0000926,0.000340981,0.000183487,0.000401151,0.010067056,,,,,,
Iceland,,0.029097336,0.838507329,3.669698933,8.458538523,14.33853583,19.02104581,26.29092318,29.17859744,32.8000341,34.26601679,34.1206613,34.33886091,34.64782085,34.80561088,35.64628947,35.9154697,36.95445582,37.61897066
Israel,,,,0.715626983,3.713168128,9.971991478,15.15068594,18.62032319,21.02456353,22.05606063,23.69552211,23.68774303,23.74545306,24.91312031,25.34045099,25.90149621,27.24329902,27.43850391,28.126995
Italy,,,0.201803651,0.681815404,1.478223593,3.888157848,8.108353762,11.62773872,14.38332886,17.01612183,18.83337659,20.06721021,21.6464208,22.26059981,22.60565657,22.97575399,23.53658307,24.3696921,25.42560665
Jamaica,,,,0.124186835,0.342633159,0.339992656,1.012874764,1.67775914,2.531055434,3.425509351,3.579549091,4.110438663,4.256269868,4.293401494,4.443792771,5.05824947,5.414891971,8.13606628,10.11877896
Jordan,,,,0.008458963,0.064797407,0.100250667,0.204705838,0.449496576,0.895614873,1.570372372,2.467146276,3.850253676,4.54370666,4.406556917,4.284134376,4.514587219,4.687432543,4.164044131,5.838824108
Japan,0.025545465,0.172137016,0.679837105,3.04428067,7.443559395,11.79002601,15.42691392,18.35039663,20.79573279,22.24224572,23.65520962,25.80483854,26.77740039,28.03678653,28.39488334,29.03697605,29.75510719,30.65225219,31.47121864
Kazakhstan,,,,,,0.006767132,0.013400479,0.01988836,0.200299319,1.756100349,2.166582928,3.667177521,5.4619249,7.413344193,10.06256391,11.91455706,12.93439983,13.72056451,13.68114134
Kenya,,,,,,,,0.015087024,0.048216013,0.046982563,0.008464593,0.045700242,0.016783513,0.128828734,0.125869245,0.167165344,0.223538938,0.28900748,0.329190577
Kyrgyzstan,,,,,0.000719512,0.002774754,0.03799327,0.045454717,0.054352746,0.060670429,0.366191969,0.329615982,0.432171658,0.72250551,0.99765939,2.455138739,3.034765241,3.705999567,4.076121046
Cambodia,,,,,0.000393412,0.003239431,0.005931836,0.007487034,0.021394234,0.061466669,0.119034314,0.212100698,0.248285216,0.150624455,0.200031672,0.215709517,0.429061796,0.532650926,0.606704211
Kiribati,,,,,,,,0.355926958,0.437179864,0.539608784,0.722330015,0.794623567,0.865535128,0.856423174,0.793761038,0.683921017,0.481037502,0.110842689,0.074633828
"Saint Kitts and Nevis",,,,,1.065325777,4.194718849,9.086966399,13.22778241,17.66252534,19.6941,21.72568969,25.12999942,27.88814181,23.78660022,24.26097342,24.54282076,25.58542773,29.57237793,29.31031401
"South Korea",0.030776583,0.607755179,8.417213659,16.92471047,22.42852,23.99243669,25.47244725,25.919439,29.69392105,30.92116605,32.32836279,33.94286624,35.48581435,36.64796736,37.24828904,38.03590701,38.77630457,40.24989913,41.13130234
Kuwait,,,,0.252448243,0.51263724,0.614264256,0.910553589,1.088701284,1.240979629,1.369905907,1.480263827,1.578890861,1.537649002,1.504141991,1.445933175,1.395249975,1.379559696,1.534855594,2.755303804
Laos,,,,,,0.000444914,0.00087733,0.005422538,0.012567992,0.018874897,0.047172831,0.068873996,0.092014761,0.100378543,0.114026441,0.133314091,0.16371975,0.524798095,0.341803749
Lebanon,,,,,,,,,,1.207784023,2.388865213,4.63865141,7.626859786,8.984358339,10.2469745,9.954435645,22.79819989,25.39282701,25.61726272
Liberia,,,,,,,,,,,0.00299506,0.003925222,0.004699355,0.001544232,0.012504668,0.11830249,0.136460616,0.155436767,0.173361979
Libya,,,,,,,,,,,0.786856123,1.056280468,1.205175899,1.146933109,1.093486961,1.043292444,1.004245335,0.965636022,2.641496039
"Saint Lucia",,,,,,0.865447622,2.324727762,4.231985345,4.280141717,6.510764095,8.988965693,10.60844749,11.55092814,11.90376581,13.586001,13.55329643,15.34820641,15.37063973,15.92747454
Liechtenstein,,,,,4.248839478,4.393544419,13.76397155,24.80426022,28.5485897,40.21751444,43.70187173,44.5817411,42.22037652,37.36121798,39.32780445,40.6662153,41.96913481,41.89957556,42.40882103
"Sri Lanka",,,,0.001717697,0.003073592,0.017521308,0.10360947,0.105256347,0.113693019,0.311611044,0.49833792,0.823234513,1.099852742,1.715607517,1.677876286,1.994793644,2.646679824,2.896176087,4.098086111
Lesotho,,,,,,,0.001150614,0.002336638,0.004,0.005624343,0.007098675,0.020101785,0.019911186,0.065976321,0.079744778,0.10966683,0.071608683,0.097258829,0.104104568
Lithuania,,,,0.070111763,0.584550904,1.976965496,3.871616337,7.121890043,11.38424222,17.52415607,18.77329948,20.43148022,22.13884698,23.9061689,25.39488925,27.71688997,26.6551363,27.78614917,28.70492982
Luxembourg,,,,0.276050412,1.313795871,3.43425892,8.083304543,15.3107916,21.22009657,27.01692652,29.38581191,31.34209702,33.1508117,32.87569624,32.40132584,33.27802707,34.80133616,35.9495712,36.73188091
Latvia,,,0.011975639,0.137934916,0.431543965,0.853797131,2.176912511,2.728098335,4.991173495,15.62226456,19.27307182,21.52658406,20.80229838,22.06160457,23.10883952,24.19138114,24.74142759,24.78648551,25.63563642
Macau,,,0.863843374,2.234295106,3.817178881,6.162263623,9.861255894,14.53169824,19.21956283,22.4040259,23.9531612,24.18287748,24.70530801,25.19980669,25.9699021,26.80132421,28.06313327,29.07823141,29.9996797
Morocco,,,,,0.006823274,0.009166207,0.216574189,0.827001892,1.289211217,1.556587411,1.59336325,1.533106386,1.594378548,1.856574217,2.120285256,2.556762497,2.966153224,3.379554393,3.650809834
Monaco,,,2.493687853,8.212321572,15.01852816,19.82225188,22.80933245,28.09985802,32.00558643,35.12980893,36.42885165,36.900369,37.45420003,42.72563807,43.26352484,44.66178531,46.76088898,47.89665971,48.22029947
Moldova,,,,0.005914994,0.010531514,0.015321466,0.063454114,0.275943391,0.586509475,1.437822078,3.168614963,5.207018272,7.577782853,10.05733111,11.90875434,13.45969436,14.7107512,15.54901787,16.33049773
Madagascar,,,,,,,,,0.007229315,0.012152172,0.017504078,0.02232664,0.025574572,0.03160672,0.139396788,0.165706639,0.105358222,0.097766118,0.057181677
Maldives,,,,,0.067198834,0.174899337,0.245124015,1.095518456,2.071823661,3.375627354,4.893848198,4.811362072,4.775341271,5.313226735,5.335921665,5.89844735,5.643794159,6.473807269,7.219795336
Mexico,,,0.014440627,0.047465406,0.216902229,0.396433112,0.966599943,1.736042897,2.693622058,3.967611364,6.551936578,8.281171708,8.977171786,9.689971115,10.8213066,10.42068422,10.52714187,11.78393966,12.67391803
"Marshall Islands",,,,,,,,,,,,,,,,2.439487784,2.599863564,1.887041685,1.875785485
"Macedonia (F.Y.R.O.M.)",,,,,,,,0.595011397,1.742524719,4.793763295,8.62467475,11.08196013,12.30801212,13.38306661,14.8307232,16.06362693,16.79417046,17.18245007,17.87658467
Mali,,,,,,,,,0.025029319,0.025146105,0.04012696,0.060799617,0.057336067,0.058834395,0.029083913,0.019011022,0.018962183,0.021520935,0.034617706
Malta,,,0.40635145,2.238240499,4.306772588,5.521260837,9.110535615,12.39526748,12.71004167,20.06067265,23.33886254,26.87716378,29.63921288,30.1808817,31.73665853,33.33535352,35.23385083,37.84560302,39.62464925
"Burma (Myanmar)",,,,,,,,0.000484247,0.007843553,0.012721095,0.019531396,0.045090763,0.04419306,0.041829381,0.0466,0.0513,0.056,0.060779929,0.055394164
Montenegro,,,,,,,,1.244681888,2.0671,2.889608287,6.425129597,9.578339318,10.42852673,10.42658916,14.1314901,15.40450897,16.71053605,18.08268282,18.48166124
Mongolia,,,,0.00202507,0.003683647,0.020254436,0.03605411,0.071244749,0.136745672,0.284963631,1.234563212,1.499762557,2.829392297,3.41484615,3.93941106,4.921641677,6.845490844,7.117462924,7.63054255
Mozambique,,,,,,,,,0.010195802,0.028717171,0.048918123,0.058850157,0.072277751,0.115428894,0.116801725,0.111683351,0.139708504,0.156958453,0.144932226
Mauritania,,,,,,,,0.005212697,0.030052077,0.120118785,0.17166725,0.192686338,0.160939985,0.16528198,0.176415997,0.193630652,0.200780182,0.236212522,0.254734895
Mauritius,,,,,0.023770363,0.098325722,0.212136982,0.445103368,2.293019914,2.879728782,4.292442959,5.940052541,7.631846027,9.574381939,11.35889677,13.05043463,14.56989587,15.74688831,16.90481302
Malawi,,,,,,0.000563784,0.001097931,0.003125787,0.005,0.006810679,0.00697401,0.007095149,0.007226736,0.011191956,0.00778299,0.053640728,0.050870086,0.033826949,0.04882714
Malaysia,,,,0.016718395,0.079061858,0.443548008,0.995462701,1.869331304,2.85257418,3.86069586,4.868812016,5.590435002,7.419055883,8.716237662,9.989423024,9.889300607,10.13982558,9.995766557,8.74052135
Namibia,,,,,,,,0.00661067,0.009644747,0.012303552,0.015160194,0.022253345,0.433003345,0.794095286,1.064577964,1.551676605,1.755204882,1.930763218,2.1912609
"New Caledonia",,,,0.061705599,0.321513871,0.753278659,2.286216946,4.197381883,6.715393191,8.612101454,10.63154422,13.63419313,15.50294465,17.12145597,18.92121428,20.89701204,22.4382659,21.04185113,
Niger,,,,,,,0.000605875,0.001608034,0.002536604,0.003395014,0.004186487,0.006534689,0.009437674,0.012803227,0.021384805,0.035892003,0.049636354,0.057088349,0.067888574
Nigeria,,,,,,,,0.000358202,0.0184,0.036412096,0.044823002,0.052746468,0.062055837,0.0353,0.008457431,0.008665709,0.008817092,0.007896539,0.014891556
Nicaragua,,,0.013723015,0.03098508,0.044183404,0.082796183,0.092846684,0.193099489,0.344656138,0.492357028,0.762387608,1.369902368,1.258611637,1.44098046,1.690863061,2.165734339,1.805870355,1.858991674,2.791422884
Netherlands,0.48125677,1.0603,1.639358423,2.922844797,7.299209194,12.32187591,19.7640593,25.14991496,31.70651741,33.49176493,35.17288001,37.00800457,38.09152836,38.98911966,39.81089407,40.526924,40.77378418,41.73008565,42.16312001
