Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cuba,15.52,15.914,16.308,16.702,17.096,17.49,19.462,21.434,23.406,25.378,27.35,27.942,28.534,29.126,29.718,30.31,30.436,30.562,30.688,30.814,30.94,31.54,32.14,32.74,33.34,33.94,34.568,35.196,35.824,36.452,37.08,37.278,37.476,37.674,37.872,38.07,38.168,38.266,38.364,38.462,38.56,38.112,37.664,37.216,36.768,36.32,35.526,34.732,33.938,33.144,32.35,32.278,32.206,32.134,32.062,31.99
Cyprus,42.92,42.898,42.876,42.854,42.832,42.81,42.658,42.506,42.354,42.202,42.05,37.37,32.69,28.01,23.33,18.65,18.768,18.886,19.004,19.122,19.24,18.796,18.352,17.908,17.464,17.02,16.98,16.94,16.9,16.86,16.82,16.506,16.192,15.878,15.564,15.25,15.206,15.162,15.118,15.074,15.03,15.166,15.302,15.438,15.574,15.71,15.04,14.37,13.7,13.03,12.36,12.186,12.012,11.838,11.664,11.49
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.18,42.122,42.064,42.006,41.948,41.89,41.806,41.722,41.638,41.554,41.47,41.374,41.278,41.182,41.086,40.99,40.954,40.918,40.882,40.846,40.81
"North Korea",19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.412,19.494,19.576,19.658,19.74,19.882,20.024,20.166,20.308,20.45,20.45,20.45,20.45,20.45,20.45,20.474,20.498,20.522,20.546,20.57,20.604,20.638,20.672,20.706,20.74,20.74,20.74,20.74,20.74,20.74,20.822,20.904,20.986,21.068,21.15,21.2,21.25,21.3,21.35,21.4,21.4,21.4,21.4,21.4,21.4
"Congo (Kinshasa)",2.972,2.9832,2.9944,3.0056,3.0168,3.028,3.0494,3.0708,3.0922,3.1136,3.135,3.1502,3.1654,3.1806,3.1958,3.211,3.223,3.235,3.247,3.259,3.271,3.2864,3.3018,3.3172,3.3326,3.348,3.3522,3.3564,3.3606,3.3648,3.369,3.3434,3.3178,3.2922,3.2666,3.241,3.2282,3.2154,3.2026,3.1898,3.177,3.177,3.177,3.177,3.177,3.177,3.224,3.271,3.318,3.365,3.412,3.412,3.412,3.412,3.412,3.412
Denmark,64.59,64.204,63.818,63.432,63.046,62.66,62.502,62.344,62.186,62.028,61.87,61.786,61.702,61.618,61.534,61.45,61.432,61.414,61.396,61.378,61.36,61.1,60.84,60.58,60.32,60.06,59.874,59.688,59.502,59.316,59.13,58.318,57.506,56.694,55.882,55.07,54.652,54.234,53.816,53.398,52.98,53.12,53.26,53.4,53.54,53.68,54.248,54.816,55.384,55.952,56.52,56.568,56.616,56.664,56.712,56.76
Djibouti,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0474,0.0517,0.0561,0.0604,0.0647,0.069,0.0733,0.0776,0.0819,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862
Dominica,21.33,21.598,21.866,22.134,22.402,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.402,22.134,21.866,21.598,21.33,21.064,20.798,20.532,20.266,20,21.334,22.668,24.002,25.336,26.67,26.67,26.67,26.67,26.67,26.67,27.47,28.27,29.07,29.87,30.67,30.67,30.67,30.67,30.67,30.67
"Dominican Republic",20.65,20.958,21.266,21.574,21.882,22.19,22.56,22.93,23.3,23.67,24.04,24.738,25.436,26.134,26.832,27.53,27.9,28.27,28.64,29.01,29.38,29.41,29.44,29.47,29.5,29.53,29.156,28.782,28.408,28.034,27.66,27.47,27.28,27.09,26.9,26.71,26.784,26.858,26.932,27.006,27.08,26.678,26.276,25.874,25.472,25.07,24.802,24.534,24.266,23.998,23.73,23.73,23.73,23.73,23.73,23.73
Ecuador,8.852,8.8732,8.8944,8.9156,8.9368,8.958,8.9826,9.0072,9.0318,9.0564,9.081,9.0528,9.0246,8.9964,8.9682,8.94,8.9436,8.9472,8.9508,8.9544,8.958,9.1664,9.3748,9.5832,9.7916,10,10.13,10.26,10.39,10.52,10.65,10.638,10.626,10.614,10.602,10.59,10.5,10.41,10.32,10.23,10.14,9.996,9.852,9.708,9.564,9.42,9.5104,9.6008,9.6912,9.7816,9.872,9.8316,9.7912,9.7508,9.7104,9.67
