Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"El Salvador",1.53,1.56,1.59,1.62,1.65,1.68,1.738,1.796,1.854,1.912,1.97,2.048,2.126,2.204,2.282,2.36,2.454,2.548,2.642,2.736,2.83,2.912,2.994,3.076,3.158,3.24,3.31,3.38,3.45,3.52,3.59,3.722,3.854,3.986,4.118,4.25,4.334,4.418,4.502,4.586,4.67,4.82,4.97,5.12,5.27,5.42,5.654,5.888,6.122,6.356,6.59,6.74,6.89,7.04,7.19,7.34,7.426,7.512,7.598,7.684,7.77
Estonia,6.13,6.17,6.21,6.25,6.29,6.33,6.408,6.486,6.564,6.642,6.72,6.782,6.844,6.906,6.968,7.03,7.1,7.17,7.24,7.31,7.38,7.498,7.616,7.734,7.852,7.97,8.068,8.166,8.264,8.362,8.46,8.54,8.62,8.7,8.78,8.86,8.926,8.992,9.058,9.124,9.19,9.428,9.666,9.904,10.142,10.38,10.586,10.792,10.998,11.204,11.41,11.482,11.554,11.626,11.698,11.77,11.838,11.906,11.974,12.042,12.11
Fiji,3.62,3.7,3.78,3.86,3.94,4.02,4.11,4.2,4.29,4.38,4.47,4.612,4.754,4.896,5.038,5.18,5.258,5.336,5.414,5.492,5.57,5.706,5.842,5.978,6.114,6.25,6.408,6.566,6.724,6.882,7.04,7.156,7.272,7.388,7.504,7.62,7.91,8.2,8.49,8.78,9.07,9.278,9.486,9.694,9.902,10.11,10.04,9.97,9.9,9.83,9.76,9.684,9.608,9.532,9.456,9.38,9.496,9.612,9.728,9.844,9.96
Finland,3.86,3.89,3.92,3.95,3.98,4.01,4.044,4.078,4.112,4.146,4.18,4.312,4.444,4.576,4.708,4.84,5.018,5.196,5.374,5.552,5.73,5.932,6.134,6.336,6.538,6.74,6.904,7.068,7.232,7.396,7.56,7.536,7.512,7.488,7.464,7.44,7.462,7.484,7.506,7.528,7.55,7.758,7.966,8.174,8.382,8.59,8.69,8.79,8.89,8.99,9.09,9.174,9.258,9.342,9.426,9.51,9.576,9.642,9.708,9.774,9.84
France,4.33,4.354,4.378,4.402,4.426,4.45,4.4,4.35,4.3,4.25,4.2,4.29,4.38,4.47,4.56,4.65,4.67,4.69,4.71,4.73,4.75,4.952,5.154,5.356,5.558,5.76,5.8,5.84,5.88,5.92,5.96,6.15,6.34,6.53,6.72,6.91,7.058,7.206,7.354,7.502,7.65,7.884,8.118,8.352,8.586,8.82,9.006,9.192,9.378,9.564,9.75,9.824,9.898,9.972,10.046,10.12,10.232,10.344,10.456,10.568,10.68
Gabon,0.47,0.54,0.61,0.68,0.75,0.82,0.858,0.896,0.934,0.972,1.01,1.092,1.174,1.256,1.338,1.42,1.5,1.58,1.66,1.74,1.82,1.976,2.132,2.288,2.444,2.6,2.742,2.884,3.026,3.168,3.31,3.508,3.706,3.904,4.102,4.3,4.49,4.68,4.87,5.06,5.25,5.45,5.65,5.85,6.05,6.25,6.404,6.558,6.712,6.866,7.02,7.158,7.296,7.434,7.572,7.71,7.846,7.982,8.118,8.254,8.39
Gambia,0.4,0.406,0.412,0.418,0.424,0.43,0.438,0.446,0.454,0.462,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.602,0.634,0.666,0.698,0.73,0.778,0.826,0.874,0.922,0.97,1.03,1.09,1.15,1.21,1.27,1.366,1.462,1.558,1.654,1.75,1.89,2.03,2.17,2.31,2.45,2.488,2.526,2.564,2.602,2.64,2.762,2.884,3.006,3.128,3.25,3.354,3.458,3.562,3.666,3.77
Germany,6.8,6.926,7.052,7.178,7.304,7.43,7.442,7.454,7.466,7.478,7.49,7.478,7.466,7.454,7.442,7.43,7.354,7.278,7.202,7.126,7.05,7.036,7.022,7.008,6.994,6.98,6.99,7,7.01,7.02,7.03,7.06,7.09,7.12,7.15,7.18,7.464,7.748,8.032,8.316,8.6,8.768,8.936,9.104,9.272,9.44,9.564,9.688,9.812,9.936,10.06,10.378,10.696,11.014,11.332,11.65,11.794,11.938,12.082,12.226,12.37
Ghana,0.68,0.704,0.728,0.752,0.776,0.8,0.85,0.9,0.95,1,1.05,1.23,1.41,1.59,1.77,1.95,2.172,2.394,2.616,2.838,3.06,3.22,3.38,3.54,3.7,3.86,3.994,4.128,4.262,4.396,4.53,4.664,4.798,4.932,5.066,5.2,5.29,5.38,5.47,5.56,5.65,5.698,5.746,5.794,5.842,5.89,6,6.11,6.22,6.33,6.44,6.566,6.692,6.818,6.944,7.07,7.056,7.042,7.028,7.014,7
Greece,4.14,4.41,4.68,4.95,5.22,5.49,5.87,6.25,6.63,7.01,7.39,7.194,6.998,6.802,6.606,6.41,6.432,6.454,6.476,6.498,6.52,6.574,6.628,6.682,6.736,6.79,6.852,6.914,6.976,7.038,7.1,7.258,7.416,7.574,7.732,7.89,8.028,8.166,8.304,8.442,8.58,8.61,8.64,8.67,8.7,8.73,8.762,8.794,8.826,8.858,8.89,9.092,9.294,9.496,9.698,9.9,9.98,10.06,10.14,10.22,10.3
Guatemala,1.31,1.32,1.33,1.34,1.35,1.36,1.368,1.376,1.384,1.392,1.4,1.416,1.432,1.448,1.464,1.48,1.528,1.576,1.624,1.672,1.72,1.778,1.836,1.894,1.952,2.01,2.18,2.35,2.52,2.69,2.86,2.92,2.98,3.04,3.1,3.16,3.234,3.308,3.382,3.456,3.53,3.584,3.638,3.692,3.746,3.8,3.86,3.92,3.98,4.04,4.1,4.074,4.048,4.022,3.996,3.97,4.09,4.21,4.33,4.45,4.57
Guyana,4.24,4.304,4.368,4.432,4.496,4.56,4.62,4.68,4.74,4.8,4.86,4.944,5.028,5.112,5.196,5.28,5.356,5.432,5.508,5.584,5.66,5.736,5.812,5.888,5.964,6.04,6.13,6.22,6.31,6.4,6.49,6.566,6.642,6.718,6.794,6.87,6.914,6.958,7.002,7.046,7.09,7.208,7.326,7.444,7.562,7.68,7.77,7.86,7.95,8.04,8.13,8.206,8.282,8.358,8.434,8.51,8.566,8.622,8.678,8.734,8.79
