Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Somaliland,,,,,0.879566729,0.829004526,0.787961662,0.786291242,,,,,
"South Africa",,0.913030207,0.788307607,0.809542179,0.87735945,0.917056024,0.857703149,0.906595111,0.839424491,0.881152213,0.898096263,0.875389755,0.870313287
"South Korea",,0.775498927,0.82671231,0.753609836,0.810902715,0.815516651,0.809104383,0.77539736,0.79669416,0.737754107,0.768350601,0.811163485,0.806929946
"South Sudan",,,,,,,,,,0.545118451,0.584781349,0.532151818,0.556822658
Spain,0.961042881,0.959,0.956858516,0.9482705,0.92945385,0.949940383,0.944443703,0.937023342,0.928640485,0.947864413,0.95647186,0.941736817,0.903158188
"Sri Lanka",,0.863598704,0.838327467,0.815702736,0.829611897,0.814367235,0.841938436,0.824357271,0.809175253,0.804798007,0.862500072,0.8426,0.822770596
Sudan,,,,,0.911406994,0.854824424,0.817785621,0.812500715,0.8116,0.81061554,,,
Suriname,,,,,,,,0.797262073,,,,,
Swaziland,,,,,,,0.837149739,,,,,,
Sweden,0.951469898,0.934,0.916559398,0.923092127,0.902532995,0.97024262,0.920521259,0.929397464,0.915648043,0.932719827,0.929459989,0.912060678,0.914016783
Switzerland,,0.951352119,0.947,0.9427,0.938339293,0.9412,0.944,0.94686389,0.9528,0.958796322,0.93833375,0.927628279,0.949661374
Syria,,,,0.712369621,0.842402101,0.934231639,0.575722337,0.588395178,0.585450053,0.5247,0.463912874,,
Taiwan,,0.882246196,0.8561,0.83000499,0.8307,0.831412911,0.862520754,0.825072408,0.816992879,0.870011866,0.885388851,0.894989252,0.891119123
Tajikistan,,0.723840773,0.726655126,0.700900733,0.67565304,0.759163022,0.750738382,0.728590906,0.700642824,0.809826255,0.843932509,0.856656969,0.662693322
Tanzania,,0.782916188,0.707851589,0.77436012,0.836828411,0.812531769,0.882530153,0.832056403,0.803418577,0.789081037,0.79026258,0.63775593,0.705010295
Thailand,,0.894326627,0.888634205,0.831711292,0.89324528,0.897651255,0.884350836,0.906098127,0.926377833,0.933167398,0.866324544,0.907543659,0.877268732
Togo,,0.435413569,0.3634,0.291333675,0.2952,0.2991,0.302955091,0.3501,0.3972,0.444339007,0.478593409,0.509440958,0.507805228
"Trinidad and Tobago",,0.886789143,0.8725,0.858300388,0.8598,0.8613,0.862838507,0.873,0.883180499,0.8914,0.8996,0.9078,0.916029036
Tunisia,,,,,,0.863187671,0.714891434,0.614422798,0.647967458,0.680260599,0.60947001,0.701822102,0.717381597
Turkey,0.819936395,0.8061,0.792272806,0.644873619,0.754645526,0.794905484,0.691901684,0.739280581,0.795451164,0.863288283,0.851224601,0.879994631,0.876467824
Turkmenistan,,,,,0.923845649,0.9441,0.964418709,0.945841253,0.845733166,0.908927441,0.960158467,0.929032266,0.908454895
Uganda,,0.760255516,0.844879091,0.812828124,0.852087021,0.830155492,0.881751359,0.884721696,0.878275216,0.821205795,0.746633112,0.753540218,0.739956141
Ukraine,,0.852453351,0.820094347,0.860013783,0.845293224,0.883555114,0.859458685,0.897573471,0.896510422,0.876760185,0.909439743,0.884961367,0.858324885
"United Arab Emirates",,0.903410435,0.8973,0.8912,0.885089338,0.911762357,0.881368935,0.855876803,0.863715768,0.8439,0.824136674,0.849379838,0.83552736
"United Kingdom",0.978839755,0.9744,0.969869673,0.953838587,0.964428782,0.955068171,0.94871068,0.934574962,0.936884105,0.910247326,0.935985744,0.954068184,0.937495291
"United States",,0.964571774,0.9586,0.952587247,0.911793768,0.926158726,0.921705008,0.903192282,0.92539686,0.902097046,0.903571069,0.896751285,0.921002865
Uruguay,,0.911876857,0.874576509,0.879113853,0.923861444,0.893039763,0.891282439,0.864693701,0.917279661,0.901897848,0.891493499,0.900380909,0.91380167
Uzbekistan,,0.903066933,0.8985,0.894025862,0.904677987,0.903226435,0.924071252,0.933141291,0.962780654,0.952406049,0.968225241,0.945102155,0.942131102
Venezuela,0.955278456,0.946309865,0.9344,0.922433853,0.944540977,0.931575835,0.930619895,0.931629658,0.896301091,0.903955817,0.911086857,0.901949286,
Vietnam,,0.887664497,0.856022894,0.804560363,0.815026462,0.786611378,0.897655129,0.775008678,0.75947696,0.792168498,0.848676682,0.876323581,
Yemen,,,0.824968934,0.7907,0.756429732,0.726612389,0.662679553,0.681678295,0.693905294,0.638252258,0.668683469,0.775407016,0.789555013
Zambia,,0.797664523,0.687989235,0.624418199,0.781925559,0.823,0.864022553,0.780022562,0.761311531,0.706222713,0.691483498,0.76704663,0.74375391
Zimbabwe,,0.821655512,0.828113437,0.843474507,0.805780947,0.856637836,0.864693522,0.896476209,0.799273849,0.765838981,0.735800326,0.768425405,0.754147053
