Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mongolia,,,0.051092565,0.054778449,0.0704,0.086105324,0.13687925,0.09188357,0.120824382,0.130435705,0.157197952,0.073655866,0.106451347
Montenegro,,,-0.138332143,-0.1208,-0.103340782,-0.208473474,-0.228349835,-0.194561794,-0.178259075,0.09407042,-0.146710485,-0.090254776,-0.084890783
Morocco,,,,,,-0.174079552,-0.230055824,-0.198701277,-0.222547248,-0.2312,-0.239932984,-0.249711856,-0.227919385
Mozambique,,0.051070839,0.083860129,0.0159983,0.0059,-0.0041,-0.014165376,0.0139,0.042,0.07,0.09810739,0.0383,-0.021502597
"Burma (Myanmar)",,,,,,,,0.625391603,0.669333935,0.67777276,0.666991115,0.65864408,0.62870574
Namibia,,,-0.107688189,-0.1196,-0.1316,-0.1436,-0.1555,-0.1675,-0.1794,-0.191406459,-0.1949,-0.1983,-0.20176585
Nepal,,,0.326221585,0.299879521,0.052841611,0.101063021,0.000317233,0.081051968,0.162228763,0.132952183,0.240085691,0.181324169,0.146511137
Netherlands,,,0.331876278,0.352980554,0.3452,0.337370366,0.32354176,0.276099622,0.292582154,0.319302261,0.249118462,0.22616823,0.237440467
"New Zealand",,0.301297486,0.26848489,0.287715673,0.2661,0.244541749,0.274472028,0.277378291,0.227064878,0.338060349,0.319662869,0.256222397,0.28505671
Nicaragua,,0.012716842,0.14317517,0.078120448,0.073093422,0.020814799,-0.01741313,0.018913383,0.040594693,0.105100371,0.077852145,0.039651159,0.010326705
Niger,,0.095769398,-0.036491271,-0.03695564,0.011330623,-0.003364216,-0.035595652,-0.04501057,-0.058858745,-0.02864112,-0.014219797,0.002531102,-0.012236271
Nigeria,,0.073169775,0.124308765,0.107069664,0.056018755,0.054936271,0.0548,0.054680578,0.03960998,-0.0035,-0.046517052,0.032186322,0.113301486
Norway,,0.082223445,0.0368,-0.008598682,0.0238,0.0562,0.0885,0.120922364,0.1378,0.154694989,0.230559945,0.106471196,0.210104033
Oman,,,,,,,-0.015440747,,,,,,
Pakistan,,,0.075424947,0.086557098,0.063120216,0.286344051,0.015565589,0.150681734,0.085226193,0.126020953,0.070737407,0.079944424,0.030328112
"West Bank and Gaza",,,-0.092984833,-0.069348037,-0.093470559,-0.12102773,-0.127834365,-0.158223853,-0.152372807,-0.147949129,-0.159322232,-0.13439247,
