Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Solomon Islands",,,,,,,,,,,,,,,2,4,4,3,3,1,2,3,1,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,1,,,,,,,,,,,,,
Somalia,,,,,,,,,,60,58,41,22,63,159,946,825.4286,704.8571,584.2857,463.7143,343.1429,222.5714,102,100.5,99,532.5,966,832.4286,698.8571,565.2857,431.7143,298.1429,164.5714,31,42,53,74,233,224,182,,,,,,
"South Africa",140,216,218,93,152,175,166,214,136,176,149,136,82,157,105,71,58,44,13,32,19,9,9,9,6,2,11,10,6,10,8,3,10,3,1,1,2,3,1,1.5,2,2,,,,
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,48,25,,,,,,
Spain,,,,,,14,13,12,11,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sri Lanka",809,812,642,821,874,423,339,219,182,70,123,76,49,37,39,9,5,10,14,11,9,7,7,8,4,8,1,3,2,1,1,1.5,2,1.5,1,1,1,,,,,,,,,
Sudan,,24,33.25,42.5,51.75,61,90,92,73.5,55,36.5,18,2050,1544.5,1039,533.5,28,89,150,71,70,21,40,95,53,66,88,99,97,112,88,94,115,172,172,148,260,168,128,88,133,97.5,62,60,46.5,33
Suriname,,,,,,,,,,,2,1.75,1.5,1.25,1,1,1,1,1,1,1,1,1,1.3333,1.6667,2,2.3333,2.6667,3,2.75,2.5,2.25,2,,,,,,,,,,,,,
Syria,,178,100,97.75,95.5,93.25,91,85,144,100,151,124,192,140,116,90,55,50,82,74,74,106,61,45,32,23,15,18,16,11,8,5,3,6,4,4,5,2,1,1,1,1,2,1,1.5,2
Thailand,536,629,699,778,886,753,664,630,677,566,548,564,508,414,325,286,212,166,120,67,68,38,32,25,20,25,17,11,9,6,11,6,3,4,3,1,3,1,4,2,2,1.8,1.6,1.4,1.2,1
"Timor Leste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,4,1,2,7,2,4,1,1,1,1,1,1,
Togo,,,,,,,217,237,139,117,115,118,101,143,64,97,42,24,27,7,32,13,27,14,39,41,33,29,42,28,8,10,15,18,5,17,28,28,20,26,18,12,11,16,14,13
Tonga,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trinidad and Tobago",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,31,12,13,36,34,44,45,33,25,37,21,13,9,8,7,3,7,7,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Turkey,,,,,,,,,,,,41,66,46,51,63,67,68,29,46,51,63,61,33,30,28,26,32,32,41,15,32,18,5,7,4.5,2,1.75,1.5,1.25,1,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,144,110,129,367,605,564,523,307,167,158,583,209,470,520,611,316,152,107,143,102,100,151,98,207,149,406,84,136,73,16,78,11
