Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,55.66588,51.1325,46.5991,42.0657,37.5323,32.99889,29.41473,34.1047,38.7947,43.4847,48.17464,44.7566,41.3385,37.9205,34.5024,31.0844,27.6663,24.2483,20.8302,21.1143,21.39846,18.8014,16.20442,20.95958,
Ecuador,,53.71235,50.56595,43.86046,48.13107,42.39426,42.96436,42.01284,29.86089,38.23894,30.74129,35.02564,36.60996,33.44104,42.50569,40.5036,38.5014,36.49928,41.0811,45.663,50.2449,54.8267,59.4086,63.99043,25.77246,24.59893,15.39142,20.3002,25.209,25.4105,24.32291,23.78665,27.89644,27.40372,24.05187,24.42961,19.41129,12.4487,5.48603,8.7284,5.0932,14.53226,6.27815,,,,,
Egypt,,,,,,20.86952,16.07155,14.9269,13.7822,12.6375,11.4928,10.3481,9.2034,8.0587,6.914,5.7693,4.62459,4.3362,4.0478,3.7594,3.471,3.1826,2.8942,2.6058,2.3175,2.0291,1.7407,1.4523,1.1639,0.8755,1.00228,5.00099,3.91429,1.39773,6.48113,6.82247,6.08814,5.3595,4.6309,3.90231,3.8565,3.8106,3.7648,3.719,3.6732,3.6273,3.58149,
"El Salvador",71.28899,67.3904,52.15498,62.57099,62.30228,61.46387,63.17998,69.3989,75.6179,81.8368,88.05572,38.46972,58.05646,57.05765,56.3529,55.6482,54.9434,54.23868,62.1516,57.2334,52.3152,47.39706,46.22326,41.6679,37.1125,32.55706,33.2291,33.9011,34.5731,35.2451,35.9171,34.7327,28.70115,30.0363,31.3715,32.70668,31.14471,24.2949,23.91659,13.52786,15.98164,16.08516,16.21072,17.36008,21.86015,21.95668,25.71351,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.52738,38.06881,44.65872,27.93064,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,17.34606,21.12585,21.41557,29.48538,21.6987,13.912,6.12529,39.45669,18.40671,13.83018,19.14682,20.782,26.2966,40.03004,26.66115,26.86738,30.98078,7.01521,15.24867,22.39945,24.6611,26.92282,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,4.53531,3.6669,2.7986,1.93019,1.51755,1.48766,1.76953,2.67167,1.84938,1.39656,3.76314,2.43086,1.94242,1.62135,2.49878,2.88567,3.02146,3.41807,2.35995,2.03268,0.79604,,
Ethiopia,,,,,,,,,,,,51.30706,51.0843,50.8615,50.6387,50.416,50.19319,56.09352,72.10726,66.4133,60.7193,55.0253,49.3313,43.63737,49.51188,45.10024,48.6595,52.2187,55.77788,49.05067,38.80012,44.29283,49.00469,53.07611,37.58501,39.21151,42.15957,56.30116,62.02119,63.31696,59.34408,63.39572,62.8473,62.2989,61.75053,,,
Fiji,,12.50152,10.55887,10.06999,9.9127,9.75547,8.03913,5.18334,7.02099,10.45162,9.86344,9.4888,9.1141,8.73944,10.81634,9.84116,11.3989,12.9567,14.5144,16.0721,17.6299,19.18763,18.1698,17.1519,16.13408,19.77428,12.30552,12.89682,13.46006,17.89997,13.90194,16.47351,11.8404,7.20731,7.6498,8.0923,8.5348,8.97727,9.05523,7.2005,5.3459,3.49117,2.84524,4.8244,6.8036,8.78281,,
Finland,,,,,,,,,,,,,,,,,2.78596,3.45277,3.33287,0.94457,1.12205,0.58186,0.67827,0.56647,0.56878,1.49611,0.19874,0.70529,0.51522,0.5752,0.73151,0.47756,0.16817,0.39257,0.52342,0.66066,0.35221,0.40627,0.49653,0.28755,0.38448,0.44827,0.5528,0.37067,0.1579,0.24705,,
France,,13.09381,12.877,12.6602,12.44336,11.16223,9.46177,5.31987,5.08743,5.51122,4.676,3.8408,3.0056,2.1704,1.3352,0.5,5.09047,5.33088,4.82045,3.54443,3.39995,3.62077,3.4234,3.226,3.0286,2.8311,2.6337,2.4363,2.2389,2.04152,,,,,,,,,,,,,,,,,,
"French Polynesia",,,,,,,,,,,,,38.20281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,50.3585,47.18358,46.8519,46.5202,46.1885,45.8569,45.5252,45.1935,44.8618,44.5301,44.1985,43.8668,43.53511,42.9127,42.2902,41.66779,55.26634,39.51838,40.6141,41.7098,42.8055,43.9012,44.9969,46.0926,47.18826,46.1886,45.1889,44.1892,43.1895,42.1899,41.1902,40.19051,,,,,,,,,,,,,,,
Gambia,,12.46693,13.8678,15.2687,16.6696,18.0705,19.4714,20.8723,22.2732,23.6741,25.075,26.4759,27.87684,27.5317,27.18659,38.71646,37.7877,36.8589,35.93006,32.0223,28.1145,24.2068,20.29899,24.76563,25.3926,26.01957,26.09464,28.8343,31.574,34.31367,27.07616,39.54399,32.2545,24.96491,36.65644,38.30554,34.1289,29.9523,32.2895,34.6266,36.96379,17.15078,27.03985,22.75489,22.24887,24.94771,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,1.76113,1.56927,1.3399,1.1106,0.88129,5.1658,5.89655,4.98756,5.51742,14.30971,1.15636,0.26718,5.37825,5.35855,3.81333,5.3477,6.88198,0.17955,1.32313,3.65543,0.7954,1.2152,
Germany,,,,,,,,,,,,,,,,,,,,,,,,0.62889,0.76691,0.80503,0.8677,0.8808,0.8939,0.90703,0.99859,1.16917,1.56589,1.00456,1.16998,2.03025,2.62806,4.37294,4.0625,3.75209,3.38377,3.75764,3.51825,,,,,
Ghana,,28.29392,29.6676,31.04121,22.87906,8.02713,23.99113,28.87451,25.31929,26.82295,23.73671,23.5694,23.4021,23.2348,23.0675,22.9002,22.7328,22.5655,22.3982,22.2309,22.0636,21.89628,23.9718,26.0473,28.1228,30.1984,32.2739,34.3494,36.4249,38.5004,40.57596,11.00757,40.53699,38.4091,36.2813,34.1534,32.0255,29.8976,27.76977,26.1013,24.4329,22.7645,21.09604,16.28634,15.8641,15.4419,15.01973,18.41272
Greece,,6.65932,5.05092,5.85139,7.53673,2.66417,2.50146,3.0511,2.98657,7.10611,1.97288,2.0551,1.13424,0.77947,0.21496,1.47072,7.33902,4.8979,2.45678,1.865,1.2733,0.68156,0.7944,0.9072,1.02,1.1328,1.2456,1.3584,1.4712,1.584,1.6968,1.8096,1.9224,2.0352,2.14804,2.454,2.63556,3.7539,4.8722,5.9905,7.10884,5.58273,9.31531,8.31331,6.1736,4.03382,,
Grenada,,,,,,33.47139,34.64921,31.349,28.0487,24.7484,21.4482,18.1479,14.84768,20.20208,13.11155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,5.53444,46.99187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,69.03262,67.66363,67.1963,66.729,66.26169,67.88902,62.84612,62.96643,64.49368,61.28779,58.67172,74.32064,52.82269,60.24311,60.11896,64.4786,63.5776,62.6767,61.7757,60.8748,59.9738,59.0729,58.1719,57.271,56.37,55.46904,53.6547,51.8403,50.0259,48.21158,49.60728,39.51027,38.7909,38.0715,37.3521,36.65788,37.50607,35.20955,21.18751,32.01555,29.07333,33.27227,32.25763,28.23722,25.24464,23.4233,21.60203,
Guinea,,,,,,,27.85059,40.3918,47.3215,54.2513,61.18103,53.97835,49.87767,59.04451,58.84724,55.64621,56.11988,56.63215,50.60276,55.92861,34.17881,48.24253,27.58815,27.34947,27.0201,26.6907,26.3614,26.032,25.7027,25.3733,25.0439,24.7146,24.3852,24.05586,29.45796,26.01073,23.68495,45.07489,37.39196,34.30549,37.8624,41.41929,37.7628,34.1064,,,,
"Guinea Bissau",,,,,,,,,86.42521,86.82769,85.73695,82.20129,84.97628,83.76187,85.715,87.6681,89.6213,91.57442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,15.51835,17.0071,18.4958,19.9845,21.4732,22.96189,19.0048,25.8584,9.32455,16.88933,23.7248,31.02188,29.9544,28.887,27.8196,26.7521,25.6847,24.6173,23.5498,22.4824,21.4149,20.3475,19.2801,18.2126,17.1452,16.0778,15.0103,13.94288,34.89314,32.5982,30.3032,28.0082,25.7132,23.4182,21.1232,18.8282,16.53325,13.6264,10.7196,7.81281,,,,,,
Haiti,,,,,,,,,66.2385,54.43338,70.1158,85.79813,69.00824,76.8954,84.78264,67.76564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
