Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Dominican Republic",6674,6478.6,6283.2,6087.8,5892.4,5697,5545,5393,5241,5089,4937,4818,4699,4580,4461,4342,4246.8,4151.6,4056.4,3961.2,3866,3787.6,3709.2,3630.8,3552.4,3474,3408.4,3342.8,3277.2,3211.6,3146,3092.6,3039.2,2985.8,2932.4,2879,2835.4,2791.8,2748.2,2704.6,2661,2623.4,2585.8,2548.2,2510.6,2473,2441.2,2409.4,2377.6,2345.8,2314,2273,2232
Ecuador,91918,89431,86944,84457,81970,79483,77349,75215,73081,70947,68813,67049.4,65285.8,63522.2,61758.6,59995,58538.2,57081.4,55624.6,54167.8,52711,51478.6,50246.2,49013.8,47781.4,46549,45503.8,44458.6,43413.4,42368.2,41323,40478.2,39633.4,38788.6,37943.8,37099,36447.8,35796.6,35145.4,34494.2,33843,33303.2,32763.4,32223.6,31683.8,31144,30653.6,30163.2,29672.8,29182.4,28692,28047.5,27403
Egypt,2041,1992,1943,1894,1845,1796,1758,1720,1682,1644,1606,1573.6,1541.2,1508.8,1476.4,1444,1410.8,1377.6,1344.4,1311.2,1278,1245.8,1213.6,1181.4,1149.2,1117,1091.48,1065.96,1040.44,1014.92,989.4,971.58,953.76,935.94,918.12,900.3,884.68,869.06,853.44,837.82,822.2,808,793.8,779.6,765.4,751.2,737.08,722.96,708.84,694.72,680.6,658.85,637.1
"El Salvador",8972,8730.2,8488.4,8246.6,8004.8,7763,7570.8,7378.6,7186.4,6994.2,6802,6655.2,6508.4,6361.6,6214.8,6068,5967,5866,5765,5664,5563,5490.4,5417.8,5345.2,5272.6,5200,5134.4,5068.8,5003.2,4937.6,4872,4820.6,4769.2,4717.8,4666.4,4615,4586.4,4557.8,4529.2,4500.6,4472,4455.4,4438.8,4422.2,4405.6,4389,4376.4,4363.8,4351.2,4338.6,4326,4307,4288
"Equatorial Guinea",100814,99064.8,97315.6,95566.4,93817.2,92068,92570.4,93072.8,93575.2,94077.6,94580,99257.4,103934.8,108612.2,113289.6,117967,115066,112165,109264,106363,103462,97916.8,92371.6,86826.4,81281.2,75736,73457,71178,68899,66620,64341,62310.6,60280.2,58249.8,56219.4,54189,52511,50833,49155,47477,45799,44449.4,43099.8,41750.2,40400.6,39051,37961.8,36872.6,35783.4,34694.2,33605,32185.5,30766
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2243,2180.6,2118.2,2055.8,1993.4,1931,1876.8,1822.6,1768.4,1714.2,1660,1627,1594,1561,1528,1495,1447,1399
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8422,8554.6,8687.2,8819.8,8952.4,9085,9120.4,9155.8,9191.2,9226.6,9262,9315.8,9369.6,9423.4,9477.2,9531,9559.8,9588.6,9617.4,9646.2,9675,9715.5,9756
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,1949.8,1895.6,1841.4,1787.2,1733,1688,1643,1598,1553,1508,1471,1434,1397,1360,1323,1275,1227
Fiji,67718,65877.6,64037.2,62196.8,60356.4,58516,57332.4,56148.8,54965.2,53781.6,52598,51622.2,50646.4,49670.6,48694.8,47719,46720.6,45722.2,44723.8,43725.4,42727,42093.4,41459.8,40826.2,40192.6,39559,39316.8,39074.6,38832.4,38590.2,38348,37879.8,37411.6,36943.4,36475.2,36007,35805.8,35604.6,35403.4,35202.2,35001,34841.6,34682.2,34522.8,34363.4,34204,33894.8,33585.6,33276.4,32967.2,32658,32330.5,32003
Finland,24472,24377,24282,24187,24092,23997,23933.8,23870.6,23807.4,23744.2,23681,23587.2,23493.4,23399.6,23305.8,23212,23128.2,23044.4,22960.6,22876.8,22793,22690.6,22588.2,22485.8,22383.4,22281,22194.2,22107.4,22020.6,21933.8,21847,21757,21667,21577,21487,21397,21347.6,21298.2,21248.8,21199.4,21150,21079.6,21009.2,20938.8,20868.4,20798,20693.6,20589.2,20484.8,20380.4,20276,20132.5,19989
