Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Denmark,833987,873362.6,912738.2,952113.8,991489.4,1030865,1074492.6,1118120.2,1161747.8,1205375.4,1249003,1340534.6,1432066.2,1523597.8,1615129.4,1706661,1835243,1954316,2055144,2155253,2225774,2288634,2351452,2403245,2465993,2543291,2628371,2711691,2791740,2847873,2911198,2950756,3004944,3059806,3123026,3193412,3251124,3340501,3495858,3638119,3835000,3864839,3700867,3614249,3491307,3348177,3098580,2825095,2975049,2774313,2613759,2481469,2299308,2094553,1872404,1696995,1557101,1235627,1131064,1004956
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,108500,113900,118400,125300,134100,143700,148200,193400,227000,284000,341201,410542,479480,529981,555449,582611,618551,704389,772180,826746,894164,955145,908957,908809,902258,896252,897026,906485,985711,965423,1012912,1099790,1128947,1171049,1226109,1304968,1345091,1329852,1277247,1210018
Algeria,,,,,,72700,77320,81940,86560,91180,95800,102420,109040,115660,122280,128900,140723,172400,207000,260400,311400,362900,408211,445779,465309,537056,578571,634859,697209,749851,812000,883120,962247,1068094,1122409,1176316,1278142,1400343,1477000,1600000,1761327,1880000,1950000,2079464,2486720,2572000,2841297,3068409,3069140,2576165,2922731,3059336,3289363,3132829,3098787,3267592,3404709,4100982,4200919,4635217
Ecuador,,,,,,48000,56400,64800,73200,81600,90000,105000,120000,135000,150000,165000,176000,185000,200000,217000,227000,241700,259710,264898,264086,268538,286413,335444,383589,454158,490508,491394,531349,598287,658115,697929,800763,900384,990842,1129528,1224431,1335772,1411055,1530700,1590755,1679568,1775232,1823120,1906478,2013223,2085659,2210608,2308672,2394771,2441690,2512657,2451623,2415204,2360581,2195840
Egypt,220503,227502.7,234502.4,241502.1,248501.8,255501.5,262501.2,269500.9,276500.6,283500.3,290500,301400,312300,323200,334100,345000,353000,362000,374000,392000,411000,430000,477407,583377,640610,892512,1076450,1118000,1200623,1394276,1602067,1816530,2027680,2234715,2456161,2716213,3024947,3452707,3971518,4686361,5483601,6694894,7794763,8735653,9464147,10396148,10807678,11228849,11852539,10312559,9618123,8714286,8557497,6820892,6315915,6235133,6118250,6604849,7865286,8760436
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13011,13335,15192,17540,18919,21979,24308,27375,30554,31249,35897,38078,39271,37712,37541,37412,40415,48473,54232,58473,60090,61935,64000,66000,66086,66170,,
Spain,1302750,1397200,1491650,1586100,1680550,1775000,1989000,2203000,2417000,2631000,2845000,3215600,3586200,3956800,4327400,4698000,5118000,5679000,6185000,6698000,7228800,7654200,8017690,8453700,8881727,9340458,9785300,10236408,10971635,11797159,12602600,13264360,13792156,14253470,14685406,15095377,15412785,15854448,16288605,16480426,17104000,17531000,17640745,17759164,17934477,19460832,19865037,20192505,20576070,20244312,20181424,19889038,19574626,19384245,19236519,19373709,19487737,19587220,19484361,19816880
Estonia,,,,,,,,,,,,,,,,120000,130000,160000,170000,190000,200000,230000,240000,250000,260000,270000,280000,290000,298000,310000,320000,332007,339370,349720,377884,411678,438811,468593,498556,515486,522816,506292,475000,461000,444031,442045,451912,495492,498129,492759,482211,471908,448212,426490,407289,387607,370589,362117,345690,324388
Ethiopia,8636,10308.8,11981.6,13654.4,15327.2,17000,20200,23400,26600,29800,33000,35450,37900,40350,42800,45250,52100,57190,59326,61165,64065,68792,74562,83798,89844,95573,103186,106131,105985,115843,125398,133091,127041,132478,137731,142452,148739,156538,164140,194494,231945,283683,353816,404790,484368,610347,725046,880088,897287,915058,908882,829008,797501,761450,820000,890642,1147000,1181000,,
Finland,428283,464026.4,499769.8,535513.2,571256.6,607000,658200,709400,760600,811800,863000,961000,1059000,1157000,1255000,1353000,1430000,1493000,1561000,1646000,1739954,1838000,1928000,2021000,2104000,2189677,2272000,2365000,2470000,2582000,2669697,2717600,2742046,2763132,2801000,2810000,2842000,2861000,2841497,2850305,2848809,2806172,2725607,2567592,2368000,2120000,1910000,1740000,1650000,1430000,1250000,1080000,889500,752200,638800,537200,457300,378000,323000,269000
Fiji,5164,5551.2,5938.4,6325.6,6712.8,7100,7600,8100,8600,9100,9600,10914.8,12229.6,13544.4,14859.2,16174,17362,18506,19608,21341,23923,24494,25756,26530,28821,29829,33230,34001,35655,39174,42425,45596,49610,53997,59471,64772,70018,71793,76933,81518,86400,92222,97515,102023,105000,112493,115000,121845,129100,136782,129845,129845,88417,70225,75750,72565,74182,75952,76522,
France,2193711,2367968.8,2542226.6,2716484.4,2890742.2,3065000,3305600,3546200,3786800,4027400,4268000,4834200,5400400,5966600,6532800,7099000,8444000,10060000,12010000,13959000,15898000,17743000,19478000,20942000,22086286,23030564,23911096,24803608,25827282,26942452,28084922,29100000,30100000,30900000,31700000,32400000,32900000,33700000,34098847,33887995,33987106,34083938,34124175,33913000,33703000,33707000,34125000,34800000,35100000,40934000,40622000,40370000,39710000,39080000,38805000,38929000,39006000,38728000,38132000,37797000
"Faroe Islands",3208,3519.4,3830.8,4142.2,4453.6,4765,5194,5623,6052,6481,6910,7633.8,8357.6,9081.4,9805.2,10529,11400,12091,12709,13279,13781,14639,15517,15921,17040,17673,18311,19441,20816,22053,22825,23716,23741,23256,22637,22246,22856,23557,24032,24851,24952,23156,24408,24292,23958,23823,23043,22459,21822,20924,20175,19561,18685,21577,20999,20083,19078,18021,17188,
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,1000,1100,1270,1335,1459,1774,2093,2441,2678,2999,6142,7212,7882,8235,8411,9106,9863,9647,10078,10106,11144,11999,12449,8917,8697,8700,8700,8453,8400,8400,10047,7025,6808,6883,6947,,
Gabon,,,,,,,,,,,,,,,,,,,,,,10440,10500,10969,11000,12000,13000,14000,17000,18877,20754,26288,27630,29834,31398,32000,35000,37253,38698,37978,38974,37233,32075,38415,38654,39128,36476,26497,33165,36460,30381,22499,22611,19252,18498,18758,18946,21235,21818,
