Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tanzania,,,,80.91718,80.3639,79.8107,79.2574,78.7042,78.1509,77.5977,77.0444,76.49114,81.8328,87.1745,87.1207,87.0669,87.0131,
Thailand,,98.09989,98.1233,98.1467,98.17,98.1934,98.21679,97.9019,97.5871,97.2722,96.9574,96.64255,97.0876,97.5327,97.97784,97.9904,98.00288,
"Timor Leste",,,,,,,,,,,,80.48976,,,,,,
Togo,,83.78623,83.9644,84.1426,84.3208,84.499,84.6771,84.85532,85.7795,86.7038,87.628,87.2723,86.91668,87.6056,88.2946,88.9835,89.67247,
Tonga,,,,,,,,99.30216,99.315,99.3279,99.3408,99.3537,99.36657,,,,,
Tunisia,,,,,,96.39501,96.8766,97.3583,97.83991,98.13431,98.1726,98.21085,98.23633,97.97062,97.2912,96.61184,,
Turkey,,,,,,98.02444,98.36093,98.36596,98.58456,98.8018,99.01896,99.21416,99.4467,99.5905,99.68914,99.74698,99.8061,
Uganda,,,,85.95758,86.2846,86.6117,86.9388,87.26585,87.8582,88.4505,89.0429,89.63519,87.6975,85.75978,,,,
Ukraine,,,99.77624,99.7927,99.8091,99.8256,99.842,99.8584,99.8749,99.8913,99.9078,99.9242,99.9406,99.95707,,,,
"United Arab Emirates",,,,,,,93.62515,,,,,,,,,,,
Uruguay,,,,,,,,98.31211,98.4888,98.62774,98.50746,98.35943,98.6134,98.62612,98.56438,98.30905,98.63845,
Uzbekistan,,99.85337,99.8646,99.8759,99.8872,99.8985,99.9098,99.921,99.9323,99.9436,99.9549,99.9662,99.9774,99.9887,100,100,100,
Venezuela,,,96.32622,96.6009,96.8756,97.1503,97.425,97.6997,97.9744,98.1221,98.26986,97.5799,96.88986,97.3454,97.8009,98.2565,98.71199,98.44194
Vietnam,94.37064,95.58781,95.7886,95.9895,96.1903,96.3911,96.5919,96.7928,96.9936,97.1944,97.39524,,,,,,,
"West Bank and Gaza",,,,,,99.02489,99.0321,99.0393,99.13416,99.21045,99.23298,99.21135,99.25986,99.34516,99.41883,99.40579,99.41047,99.45153
Zambia,72.6156,74.3188,76.0219,77.72512,76.2418,74.7584,73.2751,71.7918,70.30841,77.2708,84.2332,91.19563,,,,,,
Zimbabwe,,,,,,,,,,,,,89.59058,88.9243,88.2581,87.59186,,
