Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kiribati,102.4,99.77,97.14,94.51,91.88,89.25,86.62,83.99,81.36,78.73,76.1,75.3,74.5,73.7,72.9,72.1,71.3,70.5,69.7,68.9,68.1,66.62,65.14,63.66,62.18,60.7
"North Korea",47.3,49.02,50.74,52.46,54.18,55.9,57.62,59.34,61.06,62.78,64.5,61.49,58.48,55.47,52.46,49.45,46.44,43.43,40.42,37.41,34.4,33.02,31.64,30.26,28.88,27.5
"South Korea",7.3,7.21,7.12,7.03,6.94,6.85,6.76,6.67,6.58,6.49,6.4,6.2,6,5.8,5.6,5.4,5.2,5,4.8,4.6,4.4,4.26,4.12,3.98,3.84,3.7
Kuwait,19.4,18.82,18.24,17.66,17.08,16.5,15.92,15.34,14.76,14.18,13.6,13.39,13.18,12.97,12.76,12.55,12.34,12.13,11.92,11.71,11.5,11.04,10.58,10.12,9.66,9.2
Kyrgyzstan,70.5,68.79,67.08,65.37,63.66,61.95,60.24,58.53,56.82,55.11,53.4,51.38,49.36,47.34,45.32,43.3,41.28,39.26,37.24,35.22,33.2,31.3,29.4,27.5,25.6,23.7
Laos,172.2,167.59,162.98,158.37,153.76,149.15,144.54,139.93,135.32,130.71,126.1,122.11,118.12,114.13,110.14,106.15,102.16,98.17,94.18,90.19,86.2,83.46,80.72,77.98,75.24,72.5
Latvia,22.9,22.49,22.08,21.67,21.26,20.85,20.44,20.03,19.62,19.21,18.8,17.94,17.08,16.22,15.36,14.5,13.64,12.78,11.92,11.06,10.2,9.88,9.56,9.24,8.92,8.6
Lebanon,34,32.69,31.38,30.07,28.76,27.45,26.14,24.83,23.52,22.21,20.9,19.87,18.84,17.81,16.78,15.75,14.72,13.69,12.66,11.63,10.6,10.2,9.8,9.4,9,8.6
Lesotho,94.6,97.59,100.58,103.57,106.56,109.55,112.54,115.53,118.52,121.51,124.5,122.86,121.22,119.58,117.94,116.3,114.66,113.02,111.38,109.74,108.1,105.9,103.7,101.5,99.3,97.1
Liberia,267.5,259.82,252.14,244.46,236.78,229.1,221.42,213.74,206.06,198.38,190.7,181.11,171.52,161.93,152.34,142.75,133.16,123.57,113.98,104.39,94.8,90.78,86.76,82.74,78.72,74.7
Libya,45.2,43.77,42.34,40.91,39.48,38.05,36.62,35.19,33.76,32.33,30.9,29.64,28.38,27.12,25.86,24.6,23.34,22.08,20.82,19.56,18.3,17.58,16.86,16.14,15.42,14.7
Lithuania,18.4,17.86,17.32,16.78,16.24,15.7,15.16,14.62,14.08,13.54,13,12.43,11.86,11.29,10.72,10.15,9.58,9.01,8.44,7.87,7.3,6.96,6.62,6.28,5.94,5.6
Luxembourg,9.6,9.16,8.72,8.28,7.84,7.4,6.96,6.52,6.08,5.64,5.2,4.94,4.68,4.42,4.16,3.9,3.64,3.38,3.12,2.86,2.6,2.48,2.36,2.24,2.12,2
"Macedonia (F.Y.R.O.M.)",38.4,36.27,34.14,32.01,29.88,27.75,25.62,23.49,21.36,19.23,17.1,16.45,15.8,15.15,14.5,13.85,13.2,12.55,11.9,11.25,10.6,9.64,8.68,7.72,6.76,5.8
Madagascar,168,162.69,157.38,152.07,146.76,141.45,136.14,130.83,125.52,120.21,114.9,109.88,104.86,99.84,94.82,89.8,84.78,79.76,74.74,69.72,64.7,62.48,60.26,58.04,55.82,53.6
Malawi,252.2,245.17,238.14,231.11,224.08,217.05,210.02,202.99,195.96,188.93,181.9,173.3,164.7,156.1,147.5,138.9,130.3,121.7,113.1,104.5,95.9,90.38,84.86,79.34,73.82,68.3
Malaysia,18.5,17.78,17.06,16.34,15.62,14.9,14.18,13.46,12.74,12.02,11.3,11.05,10.8,10.55,10.3,10.05,9.8,9.55,9.3,9.05,8.8,8.58,8.36,8.14,7.92,7.7
Maldives,100,94.85,89.7,84.55,79.4,74.25,69.1,63.95,58.8,53.65,48.5,45.08,41.66,38.24,34.82,31.4,27.98,24.56,21.14,17.72,14.3,13.32,12.34,11.36,10.38,9.4
Mali,263.5,259.95,256.4,252.85,249.3,245.75,242.2,238.65,235.1,231.55,228,219.48,210.96,202.44,193.92,185.4,176.88,168.36,159.84,151.32,142.8,138.32,133.84,129.36,124.88,120.4
Malta,12.3,11.91,11.52,11.13,10.74,10.35,9.96,9.57,9.18,8.79,8.4,8.29,8.18,8.07,7.96,7.85,7.74,7.63,7.52,7.41,7.3,7.22,7.14,7.06,6.98,6.9
"Marshall Islands",54.9,53.96,53.02,52.08,51.14,50.2,49.26,48.32,47.38,46.44,45.5,45.27,45.04,44.81,44.58,44.35,44.12,43.89,43.66,43.43,43.2,42.54,41.88,41.22,40.56,39.9
Mauritania,127.1,126.67,126.24,125.81,125.38,124.95,124.52,124.09,123.66,123.23,122.8,121.14,119.48,117.82,116.16,114.5,112.84,111.18,109.52,107.86,106.2,104.12,102.04,99.96,97.88,95.8
Mauritius,25.9,25.39,24.88,24.37,23.86,23.35,22.84,22.33,21.82,21.31,20.8,20.41,20.02,19.63,19.24,18.85,18.46,18.07,17.68,17.29,16.9,16.52,16.14,15.76,15.38,15
Mexico,50.2,47.98,45.76,43.54,41.32,39.1,36.88,34.66,32.44,30.22,28,27.04,26.08,25.12,24.16,23.2,22.24,21.28,20.32,19.36,18.4,17.6,16.8,16,15.2,14.4
Micronesia,60.1,59.93,59.76,59.59,59.42,59.25,59.08,58.91,58.74,58.57,58.4,57.01,55.62,54.23,52.84,51.45,50.06,48.67,47.28,45.89,44.5,43.24,41.98,40.72,39.46,38.2
Moldova,36.7,36.5,36.3,36.1,35.9,35.7,35.5,35.3,35.1,34.9,34.7,33.14,31.58,30.02,28.46,26.9,25.34,23.78,22.22,20.66,19.1,18.8,18.5,18.2,17.9,17.6
Monaco,8.6,8.31,8.02,7.73,7.44,7.15,6.86,6.57,6.28,5.99,5.7,5.57,5.44,5.31,5.18,5.05,4.92,4.79,4.66,4.53,4.4,4.3,4.2,4.1,4,3.9
Mongolia,123.3,118.25,113.2,108.15,103.1,98.05,93,87.95,82.9,77.85,72.8,69.08,65.36,61.64,57.92,54.2,50.48,46.76,43.04,39.32,35.6,33.8,32,30.2,28.4,26.6
Montenegro,17.7,17.4,17.1,16.8,16.5,16.2,15.9,15.6,15.3,15,14.7,13.95,13.2,12.45,11.7,10.95,10.2,9.45,8.7,7.95,7.2,6.74,6.28,5.82,5.36,4.9
Morocco,84.8,81.74,78.68,75.62,72.56,69.5,66.44,63.38,60.32,57.26,54.2,52.42,50.64,48.86,47.08,45.3,43.52,41.74,39.96,38.18,36.4,35.18,33.96,32.74,31.52,30.3
Mozambique,248.9,241.75,234.6,227.45,220.3,213.15,206,198.85,191.7,184.55,177.4,170.44,163.48,156.52,149.56,142.6,135.64,128.68,121.72,114.76,107.8,102.82,97.84,92.86,87.88,82.9
"Burma (Myanmar)",117.7,114.82,111.94,109.06,106.18,103.3,100.42,97.54,94.66,91.78,88.9,86.48,84.06,81.64,79.22,76.8,74.38,71.96,69.54,67.12,64.7,62.74,60.78,58.82,56.86,54.9
Namibia,78.5,78.74,78.98,79.22,79.46,79.7,79.94,80.18,80.42,80.66,80.9,78.62,76.34,74.06,71.78,69.5,67.22,64.94,62.66,60.38,58.1,56.36,54.62,52.88,51.14,49.4
Nauru,61.4,59.76,58.12,56.48,54.84,53.2,51.56,49.92,48.28,46.64,45,44.81,44.62,44.43,44.24,44.05,43.86,43.67,43.48,43.29,43.1,42.26,41.42,40.58,39.74,38.9
Nepal,141.1,135.2,129.3,123.4,117.5,111.6,105.7,99.8,93.9,88,82.1,78.65,75.2,71.75,68.3,64.85,61.4,57.95,54.5,51.05,47.6,45.66,43.72,41.78,39.84,37.9
Netherlands,9.4,9.14,8.88,8.62,8.36,8.1,7.84,7.58,7.32,7.06,6.8,6.61,6.42,6.23,6.04,5.85,5.66,5.47,5.28,5.09,4.9,4.76,4.62,4.48,4.34,4.2
"New Zealand",12.5,12.07,11.64,11.21,10.78,10.35,9.92,9.49,9.06,8.63,8.2,8.07,7.94,7.81,7.68,7.55,7.42,7.29,7.16,7.03,6.9,6.76,6.62,6.48,6.34,6.2
Nicaragua,72.2,69.4,66.6,63.8,61,58.2,55.4,52.6,49.8,47,44.2,42.67,41.14,39.61,38.08,36.55,35.02,33.49,31.96,30.43,28.9,28.02,27.14,26.26,25.38,24.5
