Kazakhstan,,,,6980,6300,6000,6210,6500,6560,6770,7350,8660,9760,10720,11860,12920,14220,15590,15830,16370,17110,18220,19370,21250,22310,23490,22910
Kenya,1470,1490,1470,1430,1470,1550,1620,1620,1660,1670,1670,1730,1720,1750,1850,1980,2110,2250,2240,2270,2420,2560,2630,2750,2860,2990,3130
Kiribati,1540,2060,2120,2070,2110,2240,1960,2370,2660,2410,2590,2730,2620,2520,2510,2530,2570,2490,2520,2400,2470,2340,2600,2980,3590,4230,3240
"South Korea",8260,9330,10020,10850,11970,13240,14370,15300,14410,16200,17950,19050,20690,21290,22900,24010,25730,27740,28650,28250,30410,31410,32430,32850,33740,34520,35790
Kosovo,,,,,,,,,,,,,,,,,6550,7310,7510,7550,7830,8360,8740,9030,9290,9840,10200
Kuwait,,,,,,69680,69550,71470,71070,63440,65260,63310,62100,72300,82120,90620,97870,101140,96570,86320,79080,82080,84810,82500,81380,83420,
Kyrgyzstan,2250,2100,1830,1580,1280,1210,1300,1410,1420,1450,1550,1690,1700,1840,1980,2030,2180,2420,2570,2640,2560,2610,2850,3040,3210,3310,3410
Laos,1040,1090,1150,1210,1300,1390,1480,1540,1590,1720,1780,1900,2020,2110,2310,2560,2730,3020,3230,3510,3660,3940,4330,4730,5170,5530,5920
Latvia,,,,,,5540,5830,6530,7120,7330,8000,9080,10090,10970,11970,13700,15370,17580,19180,18080,17810,19740,21070,22640,23850,24840,26090
Lebanon,6190,7720,7750,8170,8800,9460,9880,9670,9940,9940,10120,10120,9720,8450,10220,10830,11330,12910,14070,15040,15740,15630,15170,14470,14050,13780,13860
Lesotho,1430,1480,1510,1510,1570,1590,1690,1740,1710,1760,1800,2140,2180,2270,2260,2270,2320,2710,2850,2830,2950,2960,3080,3110,3120,3310,3390
Liberia,,,,,,,,,410,400,540,470,480,310,330,380,430,490,530,580,590,680,670,720,710,720,700
Libya,,,,,,,,,,,,,17230,19700,20240,23050,25490,27300,28070,27770,29020,11210,,,,,
Lithuania,,,,,,,,,,,,,,,12790,14330,16180,18370,20040,18500,19750,22020,23910,26020,27810,27770,28840
Luxembourg,30070,33550,34300,35420,35690,37580,38910,41360,41800,46370,49140,50550,49830,49090,58850,63170,63660,72870,71800,55940,62040,64050,63710,64040,67290,66370,75750
