Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Iran,1965.42,1642.00,2213.00,2089.00,1617.00,1592.00,1567.00,1542.00,1592.00,1170.00,1170.00,1667.00,1467.00,1813.00,1822.00,1704.00,1788.00,1830.00,2131.00,1861.00,1927.00,1862.00,1792.00,1883.00,1917.00,2200.00,2066.00,2200.00,1467.00,1698.00,1439.00,1262.00,917.00,827.00,897.00
Ireland,1121.05,1426.00,1442.00,1646.00,1644.00,1748.00,2571.00,3584.00,3578.00,3779.00,3702.00,3619.00,3364.00,3354.00,3060.00,3024.00,3347.00,3046.00,3133.00,2698.00,3194.00,3307.00,3168.00,3089.00,3176.00,3312.00,2926.00,2782.00,2477.00,2015.00,2170.00,2201.00,2668.00,2335.00,2237.00
Israel,,,987.00,1851.00,2952.00,3226.00,3546.00,3778.00,3739.00,4002.00,4101.00,4475.00,5464.00,6242.00,6622.00,7252.00,8635.00,9524.00,10248.00,10068.00,11298.00,12733.00,13456.00,13971.00,14018.00,13993.00,13961.00,14721.00,13968.00,13571.00,13556.00,13907.00,15624.00,12922.00,10834.00
Italy,20288.02,21423.00,23324.00,21494.00,24153.00,26356.00,23778.00,24492.00,23642.00,23162.00,24688.00,22807.00,20253.00,17248.00,18361.00,19433.00,18260.00,18083.00,18991.00,19098.00,19835.00,21333.00,21938.00,23251.00,26707.00,26344.00,27284.00,27627.00,27397.00,21930.00,23942.00,26880.00,27705.00,23232.00,22163.00
Jamaica,,,,,,,,,8.80,62.00,57.00,15.00,73.00,61.00,58.00,61.00,71.00,74.00,78.00,79.00,58.00,58.00,97.00,94.00,103.00,65.00,35.00,40.00,53.00,69.00,60.00,72.00,80.00,98.00,107.00
Japan,96583.30,106866.00,106378.00,104083.00,116799.00,122751.00,117894.00,117760.00,127405.00,127106.00,130077.00,131465.00,129396.00,132937.00,140492.00,147035.00,149943.00,153793.00,148462.00,156376.00,166343.00,171592.00,180469.00,187270.00,191527.00,199120.00,196286.00,204109.00,193792.00,182636.00,195959.00,189619.00,197483.00,208936.00,210608.00
Kazakhstan,--,--,--,--,--,--,--,--,--,--,--,--,97375.00,88771.00,86836.00,71457.00,63943.00,53573.00,53664.00,50025.00,51162.00,51352.00,54347.00,61102.00,66998.00,67923.00,73606.00,77751.00,92266.00,82758.00,88698.00,94004.00,95027.00,94217.00,92894.00
Kenya,17.64,100.00,51.00,35.00,91.00,99.00,94.00,101.00,125.00,144.00,166.00,166.00,174.00,144.00,134.00,172.00,159.00,162.00,131.00,128.00,118.00,118.00,176.00,165.00,193.00,160.00,214.00,196.00,195.00,170.00,295.00,422.00,378.00,374.00,409.00
"North Korea",33631.70,34976.00,36797.00,38386.00,39398.00,31136.00,30808.00,29796.00,37009.00,28593.00,38197.00,35833.00,33876.00,31461.00,29014.00,26659.00,22958.00,22529.00,20200.00,22575.00,24148.00,24839.00,23631.00,24173.00,24718.00,26047.00,26710.00,29340.00,32749.00,32489.00,30434.00,20951.00,21347.00,21666.00,25377.00
"South Korea",28507.94,31799.00,32374.00,34533.00,40790.00,44680.00,47265.00,47734.00,50603.00,48654.00,47846.00,46729.00,43887.00,46759.00,47025.00,48890.00,55421.00,59461.00,61610.00,65178.00,73331.00,78069.00,83723.00,87216.00,90517.00,93500.00,96813.00,103758.00,114858.00,119466.00,133411.00,144248.00,141257.00,139557.00,144444.00
Kosovo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8192.00,9356.00,9812.00,9486.00,8898.00,9212.00,8046.00
Kyrgyzstan,--,--,--,--,--,--,--,--,--,--,--,--,2735.00,2445.00,2237.00,873.00,1281.00,1353.00,1344.00,1342.00,1242.00,871.00,1369.00,1621.00,1500.00,1441.00,1369.00,1564.00,2167.00,1908.00,1861.00,2016.00,2832.00,2224.00,2481.00
Laos,0.10,0.10,0.20,0.30,0.40,1.10,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,26.00,56.00,66.00,77.00,16.00,125.00,120.00,156.00,187.00,205.00,206.00,207.00,215.00,188.00,201.00,207.00,218.00,216.00,215.00,246.00
Latvia,--,--,--,--,--,--,--,--,--,--,--,--,726.00,658.00,468.00,278.00,263.00,216.00,161.00,139.00,107.00,140.00,112.00,111.00,108.00,132.00,143.00,179.00,177.00,143.00,184.00,190.00,153.00,133.00,86.00
Lithuania,--,--,--,--,--,--,--,--,--,--,--,--,724.00,649.00,530.00,409.00,369.00,288.00,245.00,196.00,144.00,129.00,231.00,298.00,291.00,316.00,439.00,418.00,357.00,267.00,331.00,367.00,345.00,394.00,341.00
Luxembourg,412.26,353.00,315.00,184.00,214.00,219.00,202.00,230.00,182.00,217.00,217.00,224.00,306.00,305.00,346.00,239.00,267.00,214.00,168.00,169.00,190.00,211.00,126.00,95.00,139.00,134.00,162.00,133.00,127.00,115.00,112.00,98.00,90.00,83.00,94.00
Macau,4.41,1.10,1.10,1.10,1.10,1.3,1.5,1.7,1.9,2.1,2.30,2.20,2.20,2.20,2.20,2.20,2.20,1.10,1.10,1.00,1.20,1.10,1.10,1.50,1.70,1.30,1.30,1.50,,,,,,,
"Macedonia (F.Y.R.O.M.)",--,--,--,--,--,--,--,--,--,--,--,--,7749.00,7622.00,7975.00,8196.00,8034.00,7496.00,9243.00,8406.00,8564.00,9269.00,8033.00,8335.00,8333.00,8238.00,7584.00,7699.00,8536.00,8245.00,7649.00,8846.00,8433.00,7683.00,7400.00
Madagascar,11.02,13.00,13.00,12.00,7.70,4.40,12.00,13.00,13.00,14.00,13.00,13.00,13.00,14.00,12.00,10.00,10.00,12.00,12.00,8.00,10.00,10.00,10.00,10.00,10.00,17.00,15.00,10.00,13.00,14.00,40.00,153.00,263.00,470.00,561.00
Malawi,71.65,53.00,67.00,49.00,45.00,36.00,31.00,31.00,18.00,12.00,20.00,12.00,13.00,17.00,19.00,19.00,19.00,19.00,14.00,61.00,69.00,52.00,75.00,71.00,67.00,65.00,65.00,67.00,57.00,53.00,60.00,60.00,60.00,60.00,78.00
Malaysia,92.59,173.00,163.00,435.00,472.00,633.00,468.00,572.00,455.00,2093.00,2319.00,2732.00,2868.00,2398.00,2663.00,2918.00,2932.00,2836.00,3027.00,3392.00,4346.00,5251.00,6361.00,9296.00,11594.00,12038.00,12368.00,15458.00,17105.00,18283.00,25839.00,25829.00,27770.00,26344.00,29254.00
Malta,,,26.00,57.00,104.00,212.00,150.00,201.00,252.00,334.00,331.00,268.00,226.00,331.00,225.00,57.00,,,,,,,,,,,,,,,,,,,
Mauritania,6.61,6.60,7.70,7.70,7.70,7.70,5.50,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,4.40,3.30,2.20,1.10,,,,,,,,,,,,,,,,
