Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Denmark,25.56224,25.8523,26.1424,26.88693,25.4727,24.0584,22.6441,21.2299,19.8156,18.4013,16.98705,15.79482,15.27401,15.65904,14.24636,14.01134,13.9427,13.87415,9.78771,10.45771,10.49849,9.2592,8.02,6.7807,5.54146,5.42027,5.52632,,,,,,,,,,,,,,
Djibouti,,,,,34.125,33.8438,33.5625,33.2813,33,32.7188,32.4375,32.1563,31.875,31.5938,31.3125,31.0313,30.75,30.4688,30.1875,29.9063,29.625,29.3438,29.0625,28.7813,28.5,26.0833,23.66667,28.72727,24.62,20.51282,20.1888,19.86486,19.60345,16.67949,16.37333,,,,,,
Dominica,35.56716,38.33333,36.92308,36,35.07692,34.2188,33.3606,32.5024,31.6443,30.7861,29.9279,29.06977,27.97674,26.24242,25.4358,24.62921,22.46,18.51852,22.90076,22.1363,21.3719,20.6075,19.8431,19.0787,18.31429,14.99275,17.69231,15.88148,11.91111,13.42222,14.04575,13.90345,13.83824,14.85926,13.50714,13.80292,10.7929,10.8375,12.53691,12.89063,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,20.31425,22.23089,23.81978,21.95419,24.4,26.84577,23.76007,20.67226,22.15464,25.83207,21.62744,24.20135,23.63875,23.55565,23.58146,25.13758,23.39422,21.41289,
Ecuador,32.99378,30.67352,32.082,32.21813,30.68591,26.98421,27.35145,28.43166,28.29644,28.83651,24.09774,24.35387,24.20308,22.78133,21.89308,20.86278,18.25488,21.22331,22.11671,17.82751,16.51201,15.6904,15.70862,15.24417,17.84348,14.56081,14.51021,18.02273,17.25032,16.65013,17.02743,17.19521,16.84106,15.1983,13.5554,11.91263,11.81869,12.04841,17.7304,,
Egypt,,,,,43.96873,37.94022,41.1342,44.32813,43.4192,42.5102,41.6012,40.6922,39.78325,37.46521,28.05619,34.89203,24.79626,23.76929,25.66779,25.39208,27.97472,24.4206,24.06598,24.0326,23.99912,23.0695,22.13978,23.35055,23.58624,24.19264,23.66244,25.51382,24.80813,31.37429,30.861,30.34772,28.324,26.3004,24.2767,27.89136,
"El Salvador",,,,,,46.99228,42.49668,58.02601,55.27727,53.51661,47.1502,40.7837,34.4173,40.8355,38.7362,36.6369,34.5376,32.4383,30.339,28.2397,26.14038,25.0872,26.1602,27.2332,28.3061,29.3791,30.4521,31.5251,32.59807,33.83106,33.27141,32.79568,31.3321,24.32591,22.90766,23.4804,24.05312,29.086,34.11892,,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,43.01034,35.96976,27.37568,27.1823,26.9889,26.79545,26.0711,25.3467,24.6223,23.89789,22.2923,20.6868,19.0812,17.4757,,,
Eritrea,,,,,,,,,,,,,,,,,,32.14428,30.97357,31.7541,31.375,34.80851,35.95652,36.0172,36.07788,36.6821,38.14724,37.3151,36.48293,37.68293,36.97515,34.53301,35.08757,33.74105,33.63026,35.43832,37.94568,35.47299,33.83406,,
Estonia,,,,,,,,,,,,,,,6.66086,6.62961,6.56673,6.36675,6.58335,7.0087,6.81651,6.75624,6.42813,6.92531,7.9415,7.84027,7.98738,7.7848,7.58219,7.535,7.46564,7.52136,7.3914,7.26147,5.92078,5.66671,6.36712,6.8194,,,
Ethiopia,,,,,,,,,46.888,45.8596,44.83123,45.51958,45.68866,45.78947,46.26854,45.67727,35.23099,38.17374,38.36205,40.34554,37.17196,37.714,38.25603,37.33912,36.31725,35.2706,34.02551,32.36834,33.11545,31.96457,33.43805,25.6812,27.32543,26.90076,31.1406,35.38043,,,,,
Fiji,13.04297,17.5062,21.96933,22.90588,32.712,22.92347,20.90323,21.1097,21.31621,20.94118,13.65584,16.61538,18.55821,19.0441,19.5301,20.016,19.7343,19.45261,19.6284,19.8042,19.98,20.1558,20.3316,20.5074,20.6832,20.85897,20.81176,20.8214,20.831,20.84058,20.0247,19.20889,,,,,,,,,
Finland,21.00373,20.5033,20.0028,19.5023,19.0019,18.5014,18.0009,17.5005,17,16.4995,15.9991,15.4986,14.9981,14.4977,13.9972,13.4967,12.9963,12.4958,11.9953,11.4949,10.99441,12.15728,11.69532,11.5149,11.94556,11.96316,12.70697,12.46537,12.20221,12.2579,11.96926,11.6974,11.42551,11.42579,11.24436,11.03099,10.76512,10.61937,11.85033,,
France,,,,,,,,,,,,,,,,,,,24.19218,23.91825,23.80929,23.60979,22.99856,20.92426,18.64171,18.5439,18.44599,18.16731,17.97911,18.02434,18.49414,18.54232,18.33579,18.10194,18.67636,20.34604,20.05662,20.57732,20.33179,,
Gabon,,,,,,,,,,,,,,,,,,25.67568,26.1816,26.6876,27.1935,27.6994,28.2054,28.7113,29.2173,29.7232,30.22913,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,32.15196,32.7775,33.4031,34.0287,34.6543,35.2799,35.9055,36.53105,36.3261,36.1211,35.9161,35.7111,35.5061,35.3011,35.0961,34.8911,34.6861,34.4811,34.2761,34.0711,33.8661,33.66105,33.9684,
Georgia,,,,,,,7.47791,7.1533,6.8287,6.5041,6.1795,5.85484,6.1298,6.4048,6.6798,6.9548,7.22975,6.7956,6.36139,6.6767,6.9919,7.3072,7.62244,10.1997,12.77697,10.72448,10.44955,10.30732,10.03163,9.70725,9.65026,9.8946,10.73454,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,17.51093,17.56186,19.13734,19.97486,20.0802,19.59316,18.1121,16.6311,15.15,13.6689,12.18789,11.78254,11.7626,11.81938,11.6687,11.16047,11.04972,10.26866,10.19621,9.81688,8.32273,8.16517,
