Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Dominican Republic",0.565570588,0.56333738,0.573440661,0.518323342,0.525270218,0.568832599,0.601205762,0.591004466,0.564767948,0.61284408,0.554607159,0.701075288,0.73324073,0.829387694,0.60220295,0.483264476,0.484438034,0.52172603,0.527701144,0.501049002,0.535057113,0.635675695,0.657649584,0.607393863,0.471081813,0.429347942,0.433437411,0.353801967,0.423112487,0.399163791
Ecuador,0.34803778,0.367624524,0.342647614,0.322252662,0.306518166,0.295593727,0.311203052,0.282177351,0.285007732,0.292222361,0.216080281,0.315450172,0.338905716,0.428803527,0.304261771,0.311202542,0.355096663,0.318334049,0.237965449,0.190849036,0.218277564,0.336639853,0.467555794,0.400361217,0.346620273,0.30476383,0.380595928,0.278440699,0.473113863,0.491322763
Egypt,3.755644422,3.715159095,3.652587231,3.821714696,3.784012899,3.679951649,3.503766052,3.621378187,3.516574344,3.591232546,3.234761515,3.564960606,3.909041032,4.159834516,4.068473592,3.718595785,3.943255151,3.923577849,3.881966919,3.738356015,3.629500946,3.794912528,3.582941541,3.489945956,3.214703956,3.521115607,3.49544677,3.491358179,3.311114266,3.251961307
"El Salvador",1.58125991,1.52944888,1.598904779,1.510767354,1.646357831,1.65340015,1.571182884,1.394669663,1.50537606,1.542246607,1.291189719,1.542435885,1.450865477,1.701631052,1.223706301,0.906750287,0.93749546,0.809764512,0.755361307,0.589692664,0.650148773,0.767649113,1.019994828,1.082478386,1.065268247,0.839642975,0.777803435,0.747557013,0.988266316,1.02353351
"Equatorial Guinea",0.749105483,0.756975917,0.69970746,0.689007214,0.632323135,0.650050579,0.582286597,0.527382058,0.501349345,0.535651433,0.331149535,0.219689285,0.168733753,0.245451518,0.353929771,0.576883317,0.865475672,0.801627191,0.502922163,0.420818938,0.565700714,0.783223738,0.852952649,1.106959382,1.275000056,1.454612866,1.139718103,0.918054926,1.719008868,1.927206475
Eritrea,2.156809053,2.106580993,2.017370419,1.998193657,1.991732855,2.067359109,1.909800437,1.966198594,2.000208,2.271617778,2.079706481,1.902415007,1.746796113,1.813332687,1.828156292,1.954784093,2.264354979,2.589461856,2.487201227,2.087228021,1.928133468,1.950238768,1.972626329,1.995324024,2.046604461,2.268917495,2.359000397,2.344409571,2.281653626,2.299931245
Estonia,0.350731991,0.423077804,0.462075754,0.447274202,0.379530642,0.38994518,0.394029658,0.368656244,0.345986291,0.277878556,0.337035841,0.391110523,0.442720268,0.409897714,0.374981753,0.399876125,0.388744728,0.373124807,0.284778508,0.324811786,0.349073295,0.387496792,0.364851311,0.332853953,0.316014925,0.290857271,0.247588591,0.206560153,0.252667779,0.242945835
Swaziland,1.077412338,1.189592378,1.102505506,1.107976811,0.980571457,0.950475927,0.902132589,0.898588265,0.952487593,1.046507499,0.806638479,0.779854557,0.61155239,0.776628005,1.493686522,2.185185132,3.146946678,2.455032939,1.959443162,1.32765012,0.968981816,1.69368448,2.396986114,3.600422723,2.153328027,1.548390475,1.25766381,1.623780053,2.024182723,2.101583627
Ethiopia,2.122539366,1.99870059,1.942735279,1.903826658,1.85878014,1.789227838,1.508362275,1.514378561,1.509802995,1.620200313,1.194561923,1.001454792,0.837900795,0.91115828,1.024157891,1.31171075,1.770474966,1.835906479,1.469257484,1.054875114,1.075139899,1.284710864,1.426018625,1.540276856,1.562735261,1.742130925,1.748573868,1.772171778,2.027666555,2.161702498
Fiji,0.161633779,0.152772936,0.178114803,0.180340979,0.18116635,0.173853818,0.165050098,0.174541846,0.15299303,0.130018366,0.073253492,0.060833784,0.067140773,0.086558743,0.113616981,0.113225521,0.159348769,0.152439688,0.158688733,0.142892273,0.116460189,0.110547819,0.126682416,0.163547052,0.18570649,0.166632238,0.186198802,0.064063317,0.198967054,0.209417163
