Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Philippines,,,,,,,,,,,,,,,,,,,,,9.4,4.62,2.17,5.67,0.28,-0.25,3.86,6.67,5.89,0.16,4.83,1.49,5.2,2.95,2.4,3.33,1.79,-1.37,4.01,1.13,2.43,3.41,1,3.33,1.63,4.1,-0.58,-0.96,4.67,1.07,1.65,2.8,2.72,3.54,3.13,-0.23,3.58,2.56,1.35,3.94,1.74,1.12,2.71,-0.4,2.76,4.32,1.99
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,1.67,1.83,2.57,1.32,-0.96,-2.33,-2.12,-3.26,-0.89,1.15,1.89,3.26,4.35,3.4,-0.39,-2.9,0.31,-0.14,-0.25,2.06,1.9,0.63,0.47
Portugal,0.21,0.21,0.21,0.21,0.21,0.21,-2.64,2.84,0.06,0.65,-0.45,-0.83,-0.84,-0.83,-0.84,-1.04,-1.16,-1.17,-1.17,1.01,1.78,-0.52,-0.82,7.56,4.67,1.19,0.61,-0.94,0.51,1.29,-0.37,-1.03,3.68,-1.1,-1.18,-0.45,3.81,3,3.72,2.06,-0.64,0.1,-1.91,1.25,2.78,1.73,2.36,3.66,1.64,2.72,0.88,0.02,-1.33,-0.38,-0.35,-0.23,0.92,-0.33,-2.71,-1.28,-3.14,-4.99,-2.34,1.84,1.5,0.17,0.9
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.22,0.8,-3.09,-1.71,-0.61,-1.09,-9.45,-1.66,-1.18,-1.15,1.57,0.84,0.03,-2.53,-0.65,0.96,-8.95,-1.16,-0.02,-0.43,-0.7,0.11
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.39,-5.54,-3.19,-0.58,1.17,-1.63,1.61,1.55,0.62,1.02,1.18,0.65,0.33,1,1.36,0.6,-2.57,0.21,0.38,0.63,-0.2,0.46,0.73,0.1,-0.9
Singapore,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,7.61,7.07,6.61,3.09,0.48,5.6,2.15,6.52,5.84,5.78,9.51,6.43,3.07,1.69,-6.51,-2.92,5.37,6.7,7.54,4.96,4.82,3.38,4.37,5.17,5.55,7.1,6.7,2.21,0.44,4.82,2.69,-1.74,-1.01,0.3,4.4,6.24,7.72,9.25,1.32,5,3.92,3.87,2.77,3.57,-0.19,-0.09,1.19
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.99,-6.41,0.01,-1.89,1.6,0.24,-0.47,-0.91,-2.83,-1.99,-0.25,-2.5,-2.17,2.38,3.22,2.37,3.05,3.35,-2.67,-0.14,1.09,-0.17,-1.74,0.72,1.66,1.56,1.74
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.54,-2.55,0.66,1.64,0.41,-0.26,3.05,-0.11,1.03,-2.77,-0.17,2.58,3.72,-1.49,-2.04,-2.66,-2.05,-0.03,1.62,1.49,1.69,1.84
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,-4.8,2.09,7.21,2.38,-0.66,1.82,-3.68,-2.33,4.86,1.14,2.49,1.76,3.92,0.25,1.48
"South Korea",2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,4.44,4.44,4.44,-1.43,9.96,1.98,4.89,7.03,4.76,-0.54,5.99,6.88,7.3,6.4,3.14,9.37,2.09,5.85,0.86,0.04,1.92,6.93,-0.02,-1.24,3.75,1.32,8.41,3.71,2.04,1.29,2.34,1.11,1.84,2.61,3.14,1.75,-0.41,-9.5,2.04,4.97,1.44,1.07,-1.43,0.64,-0.38,1.06,-0.5,-2.03,-0.9,-0.69,-2.78,5.36,-2.35,4.32,0.86,-0.11,0.71
