Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Lithuania,,,,,,,,,,0.1,1.48,2.86,4.24,5.62,7,6.6182,6.2364,5.8545,5.4727,5.0909,4.7091,4.3273,3.9455,3.5636,3.1818,2.8,1.8,1.5,1.2,1.4,2.2,1.5,0.7,0.9,0.7,1.2,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.2,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,10,10.1,7,6,5,
Madagascar,,44.9,46.7462,48.5923,50.4385,52.2846,54.1308,55.9769,57.8231,59.6692,61.5154,63.3615,65.2077,67.0538,68.9,68.025,67.15,66.275,65.4,64.65,63.9,66.3,68.7,69.525,70.35,71.175,72,73.3,74.6,75.9,77.2,78.5,78.15,77.8,,,,
Malawi,,,,,,,,,,,,,,,,,,,63.6,65.0286,66.4571,67.8857,69.3143,70.7429,72.1714,73.6,73.15,72.7,72.25,71.8,71.35,70.9,,,,,,
Malaysia,,,,,,2.9,2.6333,2.3667,2.1,1.85,1.6,1.5,1.4,1.3,1.4667,1.6333,1.8,1.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4333,0.4667,0.5,0.4,0.3,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,10,9.6143,9.2286,8.8429,8.4571,8.0714,7.6857,7.3,,,,,,,
Mali,,,,,,,,,,,,,,,,84.9,81.0429,77.1857,73.3286,69.4714,65.6143,61.7571,57.9,56.44,54.98,53.52,52.06,50.6,50.1667,49.7333,49.3,,,,,,,
Mauritania,,,,,,,,,40,40.2,40.4,40.6,40.8,41,41.2,30.9,20.6,20.4,20.2,20,19.8,19.6,18.3,17,15.7,14.4,13.5,12.6,11.7,10.8,9.9833,9.1667,8.35,7.5333,6.7167,5.9,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4167,0.4333,0.45,0.4667,0.4833,0.5,,,,
Mexico,,,,,,7.9,8.125,8.35,8.575,8.8,9.025,9.25,9.475,9.7,9.15,8.6,11.35,14.1,14.2,14.3,12.65,11,9.9,8.8,6.8,4.8,4.05,3.3,3.55,3.8,3.8,3.8,3.25,2.7,2.85,3,,
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,11.1875,11.775,12.3625,12.95,13.5375,14.125,14.7125,15.3,,,
Moldova,,,,,,,,,,,,,,,,,,,16.1,27.6,39.1,35.9,27.6,16.6,7.6,8.7,13.9,2.4,1.1,1.3,1,0.5,0.3,0.3,0.1,,,
Mongolia,,,,,,,,,,,,,,,,,13.9,18.2333,22.5667,26.9,22.825,18.75,14.675,10.6,8.74,6.88,5.02,3.16,1.3,1.1333,0.9667,0.8,0.6,0.4,0.3,0.2,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.4,0.2,0.2,0.2,0.2,1.3,1,,,
Morocco,,,,,,11.1,9.7333,8.3667,7,5.6333,4.2667,2.9,3.475,4.05,4.625,5.2,5.775,6.35,6.925,7.5,6.9,6.3,5.7667,5.2333,4.7,4.1667,3.6333,3.1,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,85.4,84.5667,83.7333,82.9,82.0667,81.2333,80.4,78.45,76.5,74.55,72.6,70.65,68.7,,,,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,31.5,30.0167,28.5333,27.05,25.5667,24.0833,22.6,,,,,,,
Nepal,,,,,,,,,,,,,,,,,61.9,59.925,57.95,55.975,54,52.025,50.05,48.075,46.1,41.6571,37.2143,32.7714,28.3286,23.8857,19.4429,15,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
Nicaragua,,,,,,,,,,,,,,,36.3,33.88,31.46,29.04,26.62,24.2,21.9333,19.6667,17.4,15.3,13.2,11.1,9,8.65,8.3,7.95,7.6,6.8,6,5.2,4.4,3.6,,
Niger,,,,,,,,,,,,,,78.2,79.8,81.4,80.8091,80.2182,79.6273,79.0364,78.4455,77.8545,77.2636,76.6727,76.0818,75.4909,74.9,73.45,72,66.575,61.15,55.725,50.3,48.7,47.1,45.5,,
Nigeria,,,,,,,45.3,46.9857,48.6714,50.3571,52.0429,53.7286,55.4143,57.1,58.7,60.3,61.9,63.5,62.0714,60.6429,59.2143,57.7857,56.3571,54.9286,53.5,53.5,53.5,53.5,53.5,53.5,53.5,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,,,,
Pakistan,,,,,,,,,62.2,61.1333,60.0667,59,51.8167,44.6333,37.45,30.2667,23.0833,15.9,19.65,23.4,25.1333,26.8667,28.6,25.0667,21.5333,18,16.5,14.8,13.1,11.5,9.9,8.3,7.9,7,6.1,,,
Panama,9.3,10.75,12.2,13.65,15.1,16.55,18,19.45,20.9,22.35,23.8,22.85,21.9,20.5,19.1,17.7,16.3,15.65,15,15.2,13.4,14.7,16.4,11.9,11.6,10.8,10.3,11,8.1,5.5,3.4,4.6,4,4.4,2.9,3.8,2.2,
"Papua New Guinea",,,,,,,,,,,,,,,,,,53.2,52.0308,50.8615,49.6923,48.5231,47.3538,46.1846,45.0154,43.8462,42.6769,41.5077,40.3385,39.1692,38,,,,,,,
Paraguay,,,,,,,,,,,,1.2,3.44,5.68,7.92,10.16,12.4,11.5,10.6,10.4,10.2,9.65,9.1,13.3,9,6.6,7,10.1,8.5,5,6.4,6.1,5.4,3.7,2.2,2.8,2.5,
Peru,,,,,,,,,,,,,,,,,,,17.9,16.7,17.6,16.7,17.7,15.3,12.2,12.2,14.2,12.4,10,7.9,6.3,4.7,4.3,4.1,3.7,3.1,3,
Philippines,,,,,,,28.1,27.1,26.1,25.1,25.6,26.1,26.6,26.0667,25.5333,25,22.5667,20.1333,17.7,16.6333,15.5667,14.5,14.0333,13.5667,13.1,13.6333,14.1667,14.7,13.3667,12.0333,10.7,11.1667,11.6333,12.1,10.8333,9.5667,8.3,
Poland,,,,,,,,,,,,,,,0.1,0.9333,1.7667,2.6,1.7667,0.9333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.1,0.3,0.1,0.2,0.1,0.5,0.7,0.8,0.5,,
Romania,,,,,,,,,,,,,,,,,,,,2.1,6.5,7.5,5.5,5.4,3.9,2.8,2.1,2.4,1.3,,,,,,,,,
Russia,,,,,,,,,,,,,,,2.4,2.8,3.2,3.6,1.1,1.7,3.4,2.3,1.2,0.7,0.8,0.7,0.5,0.3,0.1,0.1,0.1,0.1,,,,,,
Rwanda,,,,,,62.5,63.4063,64.3125,65.2188,66.125,67.0313,67.9375,68.8438,69.75,70.6563,71.5625,72.4688,73.375,74.2813,75.1875,76.0938,77,75.2,73.4,71.6,69.8,68,66.46,64.92,63.38,61.84,60.3,60.3333,60.3667,60.4,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,
"Saint Thomas and Principe",,,,,,,,,,,,,,,,,,,,,,29.8,30.05,30.3,30.55,30.8,31.05,31.3,31.55,31.8,32.05,32.3,,,,,,
