Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,19,21,22,23,23,24
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,1,87,114,124,112,179,243,324,487,705,915,1176,1491,1888,1199,1351,1813,1986,2192,2084,1540,1444
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,12,25,56,129,202,180,181,178,225,200,266,279,320,256,255,261,263
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,298,303,301,343,333,423,431,381,392
Morocco,,,,,,533,547,590,763,949,1050,1010,849,917,874,972,1401,1592,1301,1340,2010,1990,2170,1960,1830,1970,2170,1891,2010,1940,2160,3260,2880,3610,4220,4589,5451,6730,6894,6269,6423,7256,6508,6882,8041,6904,7010
Mozambique,,,,,,,,,,,53,65,64,75,57,41,50,58,72,71,70,56,58,60,55,59,61,64,46,38,37,42,53,69,58,59,80,99,116,111,116,130,174,152,155,196,198
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,6,7,9,6,2,0.3,28,42,81,123,147,136,135,102,116,105,84,117,129,115,81,55,54,115,127,275,1644,3103,3236,3312
Namibia,,,,,,,,,,,,,,,,,,,,,13,14,16,15,15,16,14,13,11,10,9,9,8,12,15,18,16,16,14,13,15,15,13,11,10,9,8
Nepal,,,,,,,,,,,,,,,,,,,,,,,,55,50,57,44,49,68,83,112,147,678,771,823,1212,1453,1734,2727,2983,3464,4217,4793,5589,5889,6730,6276
Netherlands,133,203,262,367,348,335,329,401,447,551,605,556,656,567,493,502,626,754,814,769,710,673,792,902,984,1359,1757,1495,1464,1976,1158,1358,1215,2025,2163,1259,1552,1630,1649,1712,1720,1788,1641,1619,1541,1365,1418
"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,449,493,512,537,491,544,509,492,594,715,724,728,728,736
"New Zealand",,,108,156,162,157,127,144,155,207,256,260,294,301,275,256,304,380,492,585,761,651,602,833,1160,1650,2042,1010,259,258,236,841,1150,1070,958,352,335,384,421,331,371,455,462,459,462,421,396
Nicaragua,,,,,,,,4,4,5,5.3846,5.7692,6.1538,6.5385,6.9231,7.3077,7.6923,8.0769,8.4615,8.8462,9.2308,9.6154,10,25,50,75,95,150,200,300,320,336,377,439,519,616,698,740,820,770,825,914,1016,1081,1140,1198,1268
Niger,,,,,4,8,6,6,8,9,11,9,7,7,7,9,16,16,16,13,14,13,18,16,7,8,4,5,19,27,14,22,19,25,60,66,78,79,94,102,134,166,152,146,146,108,111
