Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.89,105.1,96.3,98.73,100.23,101.44,111.8,111.69,96.83,104.26,113.69,90.07,98.37,96.85,104.78,106.94,108.58,115.29,104.81,106.1,96.97,102.6,90.37
Cuba,98.34,79.16,73.86,81.63,99.33,83.29,102.26,98.21,94.3,140.67,106.99,98.29,103.15,108.09,106.45,112.37,121.85,140.84,144.72,134.63,142.92,145.46,144.95,154.44,148.93,150.93,147.9,154.41,158.58,158.31,146.99,127.65,93.94,93.75,88.24,105.16,98.82,94.39,110.71,123.55,119.56,118.79,116.06,116.76,93.7,89.53,93.74,96.83,100.55,94.54,94.57,102.08,106.33,106.61
Cyprus,53.63,53.79,49.44,49.43,66.27,68.77,80.54,83.3,90.79,88.24,98.8,97.58,80.47,79.95,65.96,72.2,73,75.89,80.71,82.16,84.61,85.17,88.36,92.29,90.44,87.94,90.77,98.35,104.56,98.93,85.7,96.11,103.35,93.54,109.8,106.88,100.74,106.49,108.58,108.48,105.08,108.21,104.03,108.81,97.95,93.24,91.82,89.28,84.81,83.71,87.61,81.13,77.73,81.66
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.11,102.35,104.26,103.93,101.67,104.68,103.95,99.23,102.79,96.82,88.89,104.99,98.6,96.41,98.06,103.61,98.73,92.24,99.68,91.65,95.46,104.59
Denmark,68.44,69.88,68.33,69.35,70.53,69.49,69.19,70.81,67.27,64.47,65.75,65.04,66.21,72.19,69.65,69.53,75.57,76.9,79.87,79.21,79.48,84.12,82.7,89.88,88.51,87.77,85.14,87.36,89.86,94.74,94.08,90.96,97.67,93.95,96.94,95.88,97.36,99.27,98.1,98.44,99.54,99.4,99.73,101.14,101.54,97.32,100.95,103.89,104.35,102.24,105.34,105.81,102.02,107.63
Djibouti,13.36,13.72,14.17,14.48,14.75,15.98,16.68,17.94,19.29,20.03,20.95,22.07,22.06,23.54,23.92,26.85,26.28,27.73,36.42,46.58,45.05,45.36,52.96,58.16,68.35,73.72,75.86,78.95,95.15,93.29,69.34,73.32,68.82,73.55,75.78,71.74,75.17,76.65,77,84.47,86.28,98.64,95.46,94.4,94.7,110.89,136.51,142.34,125.58,115.98,131.3,134.49,133.61,133.41
Dominica,81.31,78.6,78.51,95.1,107.72,104.33,103.63,112.78,118.02,100.61,95.81,95.33,87.2,96.27,101.02,113.2,111.95,124.94,91.73,78.24,102.34,107.23,108.41,113.68,118.68,144.62,160.28,177.56,152.61,153.97,148.52,142.8,146.83,127.47,113.4,133.3,128.79,120.08,117.94,118.28,107.43,105.94,94.35,98.36,99.64,102,104.48,102.83,106.13,103.93,103.11,106.56,107.31,106.9
"Dominican Republic",45.92,46.56,45.12,46.54,42.76,45.63,45.68,45.3,52.42,54.7,58.25,59.63,62.01,63.36,60.75,66.49,66.9,68.5,67.51,67.7,68.84,73,75.71,74.98,72.22,72.82,75.55,75.84,78.89,69.55,73.48,75.01,77.07,75.09,75.7,78.6,80.69,78.42,78.75,84,92.26,94.99,93.76,93.66,99.15,107.19,111.05,104.92,117.13,129.17,124.16,126.15,135.47,138.51
Ecuador,32.69,33.19,33.5,39.84,41.51,38.45,37.25,39.93,39.88,39.76,38.7,37.83,37.72,41.59,42.13,42.77,43.99,42.03,42.01,44.69,43.69,54.44,46.59,50.4,52.14,54.19,55.29,60.95,63.43,56.63,59.73,64.54,68.62,75.63,76.9,83.1,94.62,79.69,91.25,91.59,93.44,92.46,96.01,99.64,98.31,102.05,106.35,111.83,117.42,122.99,121.97,117.45,112.84,118.49
Egypt,17.52,20.83,21.56,21.59,21.81,22.46,21.95,24.44,25.59,25.62,26.57,27.11,27.35,27.91,29.02,29.94,29.15,30.04,31.68,31.99,32.25,34.43,35.69,35.85,38.34,41.74,44.03,43.36,44.52,53.88,55.05,59.14,61.18,61.91,67.34,73.57,76.22,76.5,81.32,85.27,82.24,87.28,92.54,95.59,98.31,106.1,110.37,116.06,116.84,108.15,112.1,119.25,115.28,120.38
