Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ethiopia,7149,7004,7025,7258,7345,7431,7467,7215,7648,7736,7875,8070,8323,8142,8406,10736,10253,9007,11439,12912,12013,11882,13445,11859,8579,9600,11507,12186,11626,12266,12926,11254,,,,,,,,,,,,,,,,,,,,,,
Fiji,21818,21818,21951,21782,22059,23267,23916,23942,24000,14876,14933,17219,36410,18033,17805,33551,19577,25000,24000,13043,20245,20000,22193,22605,33633,33008,20000,19973,12948,21164,12547,21799,9667,24245,25775,25055,30734,25868,18414,18272,7869,15550,17385,18114,19285,19386,19649,19849,19869,19776,19791,19886,19842,19793
Finland,18654,13224,18392,15367,20491,17849,19851,20670,22694,24077,25689,24391,22019,20742,25823,29469,24453,24845,26834,28179,20616,29049,31406,30523,28896,29013,19060,22994,31672,35533,33096,28916,36047,35657,33677,33630,33713,23368,25855,34838,31335,33012,31070,31449,33549,32349,35940,35205,36797,30518,34156,34299,36551,35736
France,21713,23135,28407,25146,29565,29646,33550,34981,34924,33396,38859,39000,43398,38848,35772,31692,39226,43362,43257,45722,44610,47803,47605,54466,54909,51477,58765,60097,58168,55597,63699,65958,65694,63959,64016,70233,72285,71185,73069,74160,68857,75056,59972,74953,69769,69644,69698,75450,74759,71374,73011,74345,68707,78166
"French Guiana",50000,94186,70000,79167,79167,74000,73333,85000,66667,13636,40000,20000,20000,20000,20000,16667,20000,20000,20000,18916.6667,17833.3333,16750,15666.6667,14583.3333,13500,12416.6667,11333.3333,10250,9166.6667,8083.3333,7000,7000,7000,7000,7073,7073,7073,7073,7073,7093,7183,7500,8682,9880,10639,10000,10222,30190,54827,82171,100000,100000,100000,100552
Gabon,15455,15455,15455,15273,15273,15091,15091,14909,14909,14545,14545,14634,14894,14958,13962,14815,15088,14984,15031,14896,14000,14583,15000,15116,14444,14510,15766,16092,14446,15768,16912,15397,15835,16503,15471,15802,15484,15704,15858,16188,15242,14286,15223,15431,15535,15610,16500,15900,15700,15761,15771,15780,15789,15799
Gambia,10191,10278,9542,9480,9109,8333,9046,9221,8509,9500,9576,9462,9615,9469,8291,8361,8327,10000,8087,8782,12657,12263,10605,11932,11644,11985,10783,10958,10362,9142,10436,11474,11504,10825,9897,11020,9223,9788,11679,11784,11809,8799,11578,10916,10440,9627,8114,9526,10418,11184,7819,9303,9247,7635
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21725,19535,22966,24361,29656,25621,18772,21442,14864,16852,19400,22390,20871,20205,17126,22454,22008,21932,13666,22467,23648,22903,21654
Germany,22707,28242,27673,29942,27165,27535,32869,33948,32814,29670,35324,36536,36701,39830,36795,33021,36849,40363,38174,40012,38496,42980,39687,46207,47169,45952,44505,46032,49344,49472,55171,49073,51644,52245,55979,56439,59714,57665,61542,58442,64718,57492,51760,66965,60808,58667,55325,63050,66668,61268,59018,66414,66920,74748
Ghana,8008,7927,7732,7571,7947,10850,8954,8130,7906,8565,8577,8548,8576,9464,8265,8077,8294,8276,8388,7095,8638,7779,4931,8343,8706,9914,9261,10573,10119,9489,11884,9990,12933,12785,13000,13298,12854,13176,12357,12270,10944,12715,13403,13092,13395,12711,12809,15294,15732,16997,14910,16670,15435,15454
Greece,10983,11637,11494,14210,15361,18162,20387,15755,18342,22501,23104,23832,24023,24854,25390,26638,22677,28597,29276,39650,43503,45170,42933,47647,43771,51297,53660,55177,57235,53804,62510,59936,59534,59887,59077,60482,63821,56921,60920,63126,66833,66158,70376,71491,72757,69157,66399,61734,62329,64652,64417,65247,66337,52094
Grenada,8730,8730,8730,8730,8730,8710,8710,8710,8833,8833,8772,8654,8556,7690,8780,9111,9063,9082,9076,8940,10444,9000,9493,9493,9512,9800,10000,10080,10039,9923,11132,10212,9897,9914,9833,10000,10000,10046,10044,10031,10022,9979,10000,10007,9844,10000,10000,10059,10074,10087,10094,10286,10000,10028
Guadeloupe,20000,20000,20000,20000,20000,20000,20000,19763,15000,17778,20000,21000,21000,19000,10000,12000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,22000,22000,23400,27000,26667,25000,25000,28000,31000,23000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,36667,35000,34000,28571,25000,22222,20000,21000,16507,16840,17174,17508,17841,18175,18509,18842,19176,19291,19662,20000,20281,20633,20990,20000,23333,22703,23124,23544,23966,25000,25000,25343
Guatemala,8188,8634,8421,8988,9512,8862,8619,9915,10412,11658,11072,11794,16197,14359,16686,13328,13155,15313,17465,14134,15008,16830,18257,15268,16379,17415,15714,18638,20222,19744,17830,18224,17895,18681,18904,17776,14727,16638,16996,17404,17959,17066,16178,15539,13461,14806,24534,22466,19670,19789,19889,20251,20708,21072
Guinea,11364,11727,9767,11486,10238,11515,11717,11497,11495,11289,11701,11710,11487,11332,11281,11487,11050,10341,10930,10889,11156,10756,11048,11660,12188,12471,12515,12689,11640,10828,10160,9609,10012,10291,11024,11149,11283,11431,11592,12193,12290,12384,12374,12521,12607,12707,12909,11207,13039,13148,13471,10904,11112,11814
"Guinea Bissau",8056,8194,8333,7375,7250,5200,5258,5109,5128,5128,4803,4933,5488,5233,5426,6000,6296,5789,6119,6986,6842,6333,6314,6772,7910,8297,9600,14374,8840,8939,11269,8688,8778,8324,9198,8723,6056,8476,9015,8206,8331,8603,8434,12082,15529,16881,8513,10763,9024,8611,8931,9047,8651,8228
Guyana,9848,9407,9214,10647,10087,10093,11235,15236,16822,14577,17546,19039,18064,22422,19130,9292,10887,13341,14796,14797,8662,8831,9067,7778,10000,10639,12357,11154,11538,15666,13742,12075,12069,11786,13292,11481,30385,15632,14943,12352,12644,14119,12500,12500,12500,10000,17174,13333,13508,13694,13774,13760,13747,13733
Haiti,9786,9821,9857,9812,9906,9906,10093,9624,10204,10112,10312,10512,8692,9826,9403,9844,7706,6300,7853,8263,8606,8512,8451,8552,8186,8016,8000,7999,8029,7966,8116,8062,7990,7862,7897,7792,7895,7735,8140,7329,6701,7577,7583,7813,8078,8069,8058,8073,8521,8349,8317,8407,8541,8438
Honduras,10440,10721,10991,11278,11568,12124,12093,12085,12077,12069,12061,12054,11276,12038,10628,9794,9124,9295,9697,10985,13602,12766,14036,12885,13739,13250,14936,12548,13730,14304,12659,12934,13007,12779,15141,15479,15194,10621,11609,13653,14357,13367,14990,13530,14770,14807,16166,15987,16591,15859,16225,15470,15862,16368
Hungary,18356,21694,22604,22536,24112,25290,24376,26192,31825,28454,31759,35168,36856,39048,43941,35759,41933,46497,47088,48704,50642,58427,50213,53984,54559,54832,54740,50250,56623,40904,57012,34574,30977,36170,39998,45280,52051,48505,51925,36497,52568,42291,32875,58972,61744,57256,34273,63088,52851,53682,56297,37690,49558,66643
