Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Greece,56458,56448,57650,58520,55870,55080,56603,54280,55500,58700,51300,52400,56104,56124,57441,65200,69630,64410,63200,65200,62300,62102,64100,59160,56185,55100,55913,55208,56135,50438,52051,51651,49244,50100,52097,51100,49100,49100,49302,48900,47050,46700,46500,46146,44835,45579,46218,33670,33666,31513,28615,44144,43590,23978
Grenada,616,631,651,668,663,674,685,691,692,688,695,684,630,632,619,632,590,567,628,627,761,740,699,714,718,625,635,657,667,705,697,708,712,726,739,735,748,744,729,763,721,707,691,684,682,691,657,689,716,719,729,738,755,765
Guadeloupe,4017,4267,4868,4568,3780,5022,2415,3979,4120,4120,4120,4065,4065,3910,3100,2850,2800,2650,2450,2450,2845,2905,2920,2354,2019,2171,2171,2031,2155,2010,2152,2151,2268,2145,2095,1385,1525,1775,1695,1713,1789,1787,1575,997,1135,1149,1084,1100,1042,1107,1055,1163,1000,897
Guam,96,150,130,90,66,77,80,82,89,91,93,93,95,98,98,100,102,105,107,110,111,96,99,104,102,104,104,104,104,108,112,114,117,120,123,126,129,132,135,137,115,126,142,158,163,170,181,183,177,178,178,176,187,190
Guatemala,4918,5600,5600,6900,7200,6900,6900,8100,8900,8900,8700,7800,8900,12300,13600,15700,17800,18900,14866,13800,15600,16400,13750,14470,12780,13020,13480,11400,11900,13200,12355,13630,13868,13556,14220,14148,14225,14630,18370,18490,14710,15653,21470,21607,21417,22739,23280,22908,22972,24517,24702,25706,26178,26366
Guinea,80300,80600,80000,79800,80300,80600,85650,86200,90750,91280,91800,91850,105280,106430,107510,108600,111750,112879,91205,89700,90600,91440,92410,95260,88920,93900,99950,105324,110595,116100,122900,126720,131995,141033,144100,149861,157924,165000,173388,181302,179115,179239,184799,189694,192746,197752,205194,209753,173978,217002,215492,262714,274804,272618
"Guinea Bissau",6500,6500,6500,6500,6500,6500,6500,7000,6500,6500,6000,6500,6000,6000,5000,5000,8000,6500,8000,9000,6500,6500,8000,7000,7500,9000,10000,10592,10200,10065,9730,9681,9881,10100,10319,10900,11800,12100,12392,12551,12819,12977,13500,13866,14581,15500,16767,16839,14651,16717,15987,20938,16478,18783
Guyana,5000,6070,5075,5908,5949,3677,3059,3217,3478,3696,4119,4168,4326,3400,3400,3400,3400,3200,2700,2000,2450,2900,3500,3600,4500,4300,4400,3000,3400,3000,3900,3810,3766,3750,4800,5185,7728,6875,6889,8920,7390,6002,6620,6274,5684,5884,5760,4207,4444,4698,3569,4270,4710,4769
Haiti,104630,106690,111260,114320,120400,124920,129920,134930,136950,140950,145480,141980,147500,152000,160500,164000,168500,165783,180828,181800,184600,186600,194100,194600,214600,199600,195100,201600,202261,201650,210358,209282,200500,204828,207918,200014,200481,190372,191900,197515,188768,188753,186466,188574,220258,207164,239208,239855,243016,288836,262726,227345,227401,295812
Honduras,5407,5401,5640,5637,5829,5636,5686,6202,6229,5339,5199,5070,5002,4810,4707,4640,4588,4462,4289,2664,2813,2180,2282,2395,2485,2540,2550,2848,3120,3080,2899,2625,3361,3338,3480,3473,3851,4226,4886,4330,4531,4698,5001,6701,7574,7910,8125,8425,6454,7153,6483,7181,6808,6638
