Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.18,14.66,14.69,14.72,14.75,13.28,13.21,12.95,12.09,13.01,12.11,12.14,12.06,9.75,10.64,10.36,9.03,9.44,9.39,9.2,9.17,8.45,9.1,8.2,8.41,7.11,7.16,8.25,7.42,6.61,7.5,7.1,
Luxembourg,,,,,,,,,,,,,,,,,,14.08,10.5,12.85,13.63,10.59,10.21,11.91,9.83,12.6,9.07,8.02,8.72,8.19,8.45,8.48,6.92,5.82,7.3,4.81,6.14,5.95,3.37,6.67,3.55,3.78,6.09,5.93,4.41,4.12,3.12,5.12,4.11,3.63,1.91,2.46,2.82,2.27,2.8,1.88,4.4,2.05,1.53,3.2,3.13,2.4,1.5,2
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14,9.98,9.42,10.75,8.8,10.18,9.84,9.04,7.85,8.46,8.46,7.48,7.71,7.96,6.84,7.17,8.42,6.1,6.77,7.1,,,
Malta,,,,,,,,,,,,,,,,8.3,8.675,9.05,13.64,7.45,9.91,8.6,10.77,10.81,8.59,6.18,6,8.91,8.89,7.41,8.12,6.22,6.5,6.91,7.58,4.14,5.81,6.84,7.14,3.7,5.46,9.19,7.41,6.41,6.01,2.46,6.34,4.12,3.63,3.88,4.31,3.2,5.6,4.65,3.74,3.39,3.32,2.73,2.97,2.24,1.59,3.5,2.9,
Mauritius,,,,,,,,,,,,11.29,7.56,10.42,6.85,10.46,13.86,5.31,7.11,8.74,8.89,4.75,7.46,10.57,8.67,6.96,10.27,8.7,8.96,8.83,6.29,7.61,8.09,11.88,6.29,9.16,6.7,9.5,8.4,6.03,8.81,6.54,7.09,4.47,7.24,6.96,3.07,3.63,6.55,4.25,6.08,5.58,5.19,4.16,6.36,4.01,5.5,3.74,3.19,3.54,3.24,3.4,3.2,3.9
Mexico,,,,,,5.98,6.41,7.5,8.38,7.56,7.83,7.87,7.87,8.14,7.98,7.88,8.06,7.76,7.75,8.24,8.2,8.13,8.15,7.41,7.94,7.76,7.33,7.2,7.24,7.12,6.63,6.94,6.75,6.61,6.41,6.82,6.9,6.65,6.88,6.89,6.29,6.37,6.41,6.35,6.21,6.03,6.22,5.72,5.36,5.72,5.33,5.3,5.21,5.12,5.07,5.09,4.85,4.56,4.56,4.31,4.26,4.2,4,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86,9.74,9.52,9.3,9.08,9.17,9.25,9.53,9.97,9.82,9.64,9.09,8.68,9.51,8.9,7.46,6.26,6.54,5.67,6.22,5.46,6.26,5.39,6.61,7.61,6.19,6.51,6.24,5.93,5.54,6.3,6,5.8
Netherlands,28.53,26.7,25.2,24.27,24.36,21.99,22.58,21.18,19.17,17.96,17.19,16.66,15.94,15.89,16.02,15.06,15,14.52,13.79,12.3,12.34,11.43,10.62,10.97,9.97,9.45,9.45,8.91,8.27,7.75,7.21,7.2,7.19,6.59,6.31,6.12,6.02,5.87,5.29,5.08,4.82,5,4.53,4.48,4.46,4.06,4.14,3.86,3.29,3.58,3.78,3.52,3.44,3.23,3.4,2.93,3.09,2.85,2.81,3,2.59,2.6,2.6,2.4
"New Zealand",13.57,15.14,12.96,12.86,14.05,13.67,13.42,10.62,11.19,9.71,10.05,9.37,9.73,8.57,8,8.97,8.61,7.42,7.3,6.73,7.26,6.55,6.62,6,7.26,6.5,6.3,5.66,5.3,5.31,5.94,5.47,5.33,6.36,4.31,4.5,4.75,4.16,4.33,4.88,3.88,3.86,3.81,3.29,3.09,3.45,3.66,3.05,3.47,3.57,3.37,2.94,3.05,2.84,3.08,2.95,2.92,3.18,2.74,2.07,2.335,2.6,,
Nicaragua,,,,,,,,,,,,0.86,0.46,1.18,0.51,0.62,1.3067,1.9933,2.68,2.42,2.335,2.25,2.165,2.08,1.17,2.07,0.51,1.35,0.39,0.92,1.45,1.98,2.51,3.04,3.57,4.1,4.63,5.16,5.69,7.83,5.31,6.72,5.75,6.8,7.15,7.21,7.27,6.45,6.39,5.55,7.17,7.46,4.94,5.85,6.47,6,5.16,6.84,5.54,6.6,5.64,4.9,4.8,
"Northern Ireland",22.19,20.03,19.55,21.03,17.31,18.58,20.65,19.27,18.76,17.4,19.3,14.09,14.64,14.34,14.65,12.72,14.02,11.25,12.13,11.48,11.04,11.56,10.04,11.09,11.12,12.11,10.29,11.06,10.29,9.34,9.06,8.23,7.8,7.28,5.62,5.66,6.1,6.08,6.78,6.51,6.11,6.64,3.9,3.78,3.96,3.91,5.24,3.15,4.86,3.83,4.05,3.95,3.79,3.26,3.37,3.31,3.38,3.05,2.9,2.24,2.75,2.8,2,2.7
Norway,,29,24.49,23.38,21.51,21.83,20.88,19.75,18.72,18.7,17.95,16.94,14.66,15.69,14.86,14.4,13.76,13.26,13.04,13.22,12.59,10.25,10.33,9.45,9.7,9.27,8.18,8.72,8.09,7.14,7.62,7.53,6.89,6.87,7.08,6.25,5.56,6.08,4.94,5.16,4.95,5.22,4.59,3.92,4.66,4.6,4.04,3.68,3.71,4.28,3.2,3.09,3.19,2.89,2.92,3.31,2.78,2.74,2.5,2.5,2.32,2.2,2.2,2.3
Panama,,,,,,7.6,12.58,6.95,8.67,7.5,6.94,8.72,8.35,7.08,9.07,7.58,5.78,4.43,8.35,8.34,7.35,9.33,7.33,7.89,6.68,8.69,7.59,7.02,6.01,6.23,5.66,8.15,6.99,6.29,6.41,7.16,6.79,5.83,3.84,4.49,4.5957,4.7014,4.8071,4.9129,5.0186,5.1243,5.23,5.56,5.2,4.54,5.57,6.09,4.73,5.45,6.2,5.64,6,6.68,6.37,4.99,5.145,5.3,5.9,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16,4.38,5.51,5.19,4.54,4.64,4.43,4.37,4.7,3.8,4.26,3.66,3.04,3.32,3.22,2.77,2.8,2.3,
Peru,,,,,,,,,,,,,,,,,14.64,15.09,14.56,15.69,15.17,15.51,13.55,13.61,12.9875,12.365,11.7425,11.12,12.51,12.425,12.34,10.26,10.97,10.39,10.57,10.75,10.93,6.72,7.78,8.02,8.02,6.66,9.05,8.73,8.41,10.35,10.91,10.96,10.5,11.28,11.43,10.53,10.31,10.13,10.78,11.89,9.1,10.04,9.81,10.13,10.52,8.8,8.2,
