Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Namibia,89.76,90.99,100.49,102.97,94.13,101.63,139.81,137.23,152.07,171.7,189.96,201.13,152.89,139.89,145.48,118.51,111.05,97.88,74.38,57.14
Nauru,11.86,11.25,10.5,9.43,10.39,13.29,13.49,14.42,13.36,13.62,13.35,13.62,14.63,11.68,10.22,9.09,7.78,6.24,6.43,6.43
Nepal,189.8,182.31,187.36,204.9,194.6,200.78,204.32,218.81,223,233.6,219.14,182.95,167.07,161.95,157.83,128.71,115.51,101.2,75.87,55.35
Netherlands,111.56,128.18,122.49,143.81,147.21,146.52,161.03,176.85,187.39,170.76,161.98,77.47,73.72,68.64,69.93,58.37,52.33,47.07,32.85,22.66
"New Zealand",80.84,80.16,82.09,91.51,86.66,87.17,98.31,97.8,95.37,93.88,93.84,89.35,73.95,75.55,79.11,65.9,61.77,56.38,41.08,31.15
Nicaragua,127.01,140.66,148.76,167.18,156.52,147.53,155.98,176.81,176.52,172.43,160.02,157.79,162.96,154.44,145.21,111.27,103.55,112.92,87.26,63.11
Niger,184.5,179.37,182.68,195.19,192.44,177.78,202.21,187.07,188.32,191.01,190.01,183.06,175.19,160.74,173.04,147.42,139.27,121.27,67.02,41.71
Nigeria,126.63,136.68,133.88,171.55,159.29,130.06,159.78,144.16,243.33,201.57,194.47,156.91,174.47,137.3,158.06,113.68,99.53,83.35,61.98,43.94
Norway,70.72,71.09,78.28,86.73,84.39,76.47,80.33,90.45,93.23,86.97,78.73,68.19,65.7,58.63,65.79,53.32,48.18,41.21,30.53,22.56
Oman,26.36,25.73,26.33,35.3,32.21,29.46,29.69,29.14,30.15,28.88,23.57,22.06,22.52,20.08,25.33,18.31,15.18,14.31,8.75,5.82
Pakistan,109.65,110.1,115.53,139.28,136.68,119.48,115.73,110.75,115.16,109.15,113.75,117.05,111.62,100.92,89.54,73.73,69.86,55.6,37.8,27.12
Palau,126.71,120.16,121.12,128.6,155.29,156.42,90.93,110.38,108.98,108.56,112.35,103.62,107.91,103.77,112.24,98.47,86.51,72.28,56.32,39.83
Panama,117.47,121.15,110.56,123.96,115.65,128.84,136.68,136.71,143.2,129.8,118.35,111.64,109.45,95.2,89.6,89.34,83.83,69.07,50.2,34.36
"Papua New Guinea",25.16,24.3,31.41,31.67,33.59,35.9,38.63,46.33,38.79,40.5,42.4,38.41,39.65,40.17,46.92,37.24,31.13,26.69,19.25,12.77
Paraguay,190.37,178.37,193.55,193.66,197.98,263.81,285.37,280.31,250.48,222.82,198.24,182.47,170.42,164.52,208.32,208.53,192.11,173.12,124.66,84.99
Peru,101.34,103.44,107.36,110.91,106.66,106.39,113.09,116.26,109.24,104.38,99.86,96.59,97.41,95.27,99.43,81.59,74.66,68.66,48.15,34.47
Philippines,99.34,99.54,100.12,100.46,94.64,89.56,92.72,94.41,110.4,107.99,120.21,119.57,116.89,114.15,119.1,99.6,98.86,90.5,67.78,49.52
Poland,71.31,75.09,77.88,108.02,86.16,86.47,89.26,100.21,105.48,105.49,99.23,90.56,87.05,84.49,87.46,72.8,67.25,60.48,42.08,29.48
Portugal,142.74,134.48,135.82,131.1,130.45,148.65,152.44,149.1,160.82,161.09,159.5,152.9,149.4,147.01,148.38,127.24,118.23,105.76,73.73,53.49
Qatar,62.15,53.83,51.32,56.86,47.34,33.24,36.91,40.42,39.46,34.37,29.61,24.42,20.08,14.39,24.57,17.23,14.17,10.15,6.78,4.99
Romania,31.77,34.49,37.41,64.92,57.77,57.78,62.86,67.67,56.14,74.65,57.54,50.26,43.56,42.68,50.17,42.88,39.3,32.98,23.7,17.45
Russia,66.21,73.47,96.94,118.38,110.33,113.01,126.72,135.43,129.35,113.56,102.91,95.52,90.59,97.69,116.97,106.94,96.71,87.94,74.56,54.07
Rwanda,126.49,123.02,125.23,131.21,125.17,133.88,121.75,111.35,167.59,169.57,168.44,260.31,228.95,210.93,212.37,181.07,161.06,141.65,103.78,74.59
"Saint Kitts and Nevis",111.74,119.07,113.56,117.03,123.82,112.75,111.75,116.7,119.87,116.44,111.32,114.95,117.77,125.03,117.3,105.06,116.85,108.12,87.54,46.97
"Saint Lucia",102.03,116.78,116.29,101.74,112.66,124.31,140.99,152.7,160.04,158.96,161.32,155.89,171.19,163.46,152.66,137.9,139.63,118.53,91.89,49.92
"Saint Thomas and Principe",239.34,242.8,251.2,211.55,218.98,254.41,327.22,339.48,308.88,307.37,247.15,250.55,243.71,197.3,200.66,139.4,136.1,173.3,128.24,75.86
"Saint Vincent and Grenadines",88.03,85.47,104.81,110.75,96.41,59.28,64.26,66.16,66.79,67.78,63.05,51.03,46.73,41.59,46.51,30.71,30.58,78.42,19.8,67.92
Samoa,58.93,57.63,62.22,69.1,74.71,71.34,74.88,63.71,56.89,48.68,46.88,38.8,37.65,33.75,34.01,28.32,25.62,21.94,15.78,10.85
"San Marino",38.2,37.43,37.31,42.67,41.24,45.11,45.21,45,45.02,40.76,39.16,35.42,32.7,30.02,32.3,24.49,21.82,18.11,11.02,6.29
"Saudi Arabia",62.69,59.41,65.24,69.64,61.77,56.58,60.65,59.18,55.66,55.02,47.93,45.14,47.7,45.8,63.02,49.38,38.09,33.01,25.11,19.09
Senegal,123.01,120.9,127.68,135.69,136.43,141.07,153.57,171.3,185.38,192.59,128.06,116.21,114.35,108.67,104.47,84.7,74.62,64.4,48.52,35.95
Serbia,95.28,95.49,93.11,98.85,99.65,98.36,110.74,115.97,128.45,135.91,153.34,165.2,184.05,170.19,169.97,146.52,129.5,118.66,87.63,63.24
"Serbia and Montenegro",2.74,3.02,5.67,21.34,20.9,24.5,17.19,14.65,10.25,5.64,,,,,,,,,,
Seychelles,39.93,34.35,42.86,49.18,49.33,53.08,49.26,44.36,43.34,35.76,30.65,21.32,21.79,16.01,14.85,13.43,6.73,8.96,5.82,4.2
"Sierra Leone",489.38,489.43,489.72,482.55,510.62,540.14,496.06,495.13,397.36,488.78,516.5,437.87,476.49,472.89,555.78,385.48,374.35,302.32,219.15,147.3
Singapore,72.09,73.56,74.65,84.21,76.12,84.86,93.71,113.97,133.46,119.55,132.8,122.5,114.25,117.78,121.83,98.64,91.88,83.04,61.11,45.89
Slovakia,35.61,37.77,26.75,28.44,29.83,35.24,37.53,39.2,55.55,102.1,93.27,112,118.65,111.39,132.94,107.03,81.96,72.66,50.22,35.43
Slovenia,78.48,84.53,91.62,98.51,95.06,109.78,122.28,125.26,135.35,121.38,119.94,111.32,103.09,95.76,106.53,87.13,81.35,75.76,57.59,41.76
"Solomon Islands",13.1,13.13,15.62,15.39,15.57,15.87,17.18,17.35,23.9,23.21,22.77,21.81,19.82,18.68,19.2,16.38,11.56,10.48,8.75,6.57
Somalia,7.55,7.02,8.05,13.88,13.96,15.88,19.45,,,,,,,,,,,,,
"South Africa",215.51,228.92,239.57,261.25,262.99,252.9,274.91,278.23,286.98,286.69,264.98,236.59,209.16,194.62,205.43,170.77,152.74,136.55,100.77,72.86
"South Korea",117.6,117.63,116.14,114.02,116.91,121.91,125.34,126.39,139.27,133.23,135.61,130.77,129.51,124.82,128.16,111.84,106.67,98.9,72.66,54.21
"South Sudan",,,,,,,,,,,,,,24.9,30.02,24.98,16.98,53.03,35.82,25.6
