Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hungary,58,58,62,61,63,63,64,60,65,54,58,49,49,47,63,60,63,68,54,50,49.41498907,48.74077534,42.95740822,45.52934521,47.53453825,42.27903288,39.49465753,32.81692055,37.74423497,35.3665863,34.45847123,27.64039452,27.83737158,27.84603014,25.62727671,25.89244384,27.72577717
India,186,329,395,485,525,626,646,627,655,724,682,639,602,578,651,770,751,780,761,765,772.9509445,784.6308131,815.8651649,818.3335017,846.6008332,834.4883808,871.385989,873.9510274,876.5325328,879.224711,965.8207493,1007.01256,1017.153414,1020.509816,1013.044733,1007.911674,992.4016393
Indonesia,1659,1712,1431,1448,1498,1380,1426,1370,1369,1481,1537,1666,1577,1588,1589,1582,1639,1608,1616,1569,1530.278416,1433.580788,1340.031535,1245.318163,1183.378492,1104.884035,1039.39499,987.7548223,1029.386531,1012.891483,1028.028341,998.1451205,970.8373749,937.8729562,902.0811,866.3812137,955.520612
Iran,1683,1402,2236,2460,2196,2272,2044,2313,2253,2831,3113,3358,3476,3591,3672,3709,3748,3728,3703,3621,3765.385159,3799.991166,3523.968566,3833.034036,4104.208679,4238.583582,4149.340275,4039.025475,4177.537353,4178.296126,4243.071584,4214.979,3519.747727,3194.30074,3379.980192,3446.898,4214.575596
Iraq,2526,1009,1021,1014,1218,1447,1696,2086,2699,2945,2064,302,421,523,567,580,593,1172,2162,2520,2581.968703,2408.821705,2039.791339,1318.044453,2020.566777,1889.419132,2009.440988,2096.63573,2384.552667,2399.167102,2397.543208,2624.165932,2979.494333,3050.544562,3364.202096,4050.202096,4447.677393
Ireland,-0.6,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.074430137,-0.2,-0.2,-0.2,-0.2,-0.4,-0.3,-0.3,-0.4,-0.4,-0.4,-0.40642623,-0.225065753,-0.119427397,-0.042057534,-0.15342623,-0.051164384,-0.182,-0.557101,-0.431,-0.29570137,1.075035616,0.725610959,1.015,0.924046575,0.898665753,0.735219178,0.735219178
Israel,35,36,1,1,1,1,1.6,1.4,1.5,0.8,0.9,-0.054707786,0.1,2.1,2.9,3.1,3.5,2.1,3.4,3.1,3.663240575,3.913866513,2.740106365,3.19412275,5.950677053,3.709,3.972,4.768,5.574,6.175,6.063372603,6.273942466,7.409065574,6.398150685,6.497668493,5.971641096,5.971641096
Italy,68,68,65,78,82,84,67,85,109,102,109,104,112,113,118,126,136,149,144,122,134.5217705,122.2400822,129.838874,142.8892849,153.2106749,164.8135644,164.5394658,168.6095123,164.2067486,145.5255753,156.142811,152.7214137,150.9922131,160.5093425,167.6555096,162.8926,133.3565045
Jamaica,,,,,,,-0.7,-0.4,-0.4,-0.5,-0.6,-0.4,-0.6,-0.2,-0.3,-0.5,-0.4,-0.4,-0.4,-0.2,-0.557608778,-0.411003674,1.30665685,2.050144082,1.506986715,1.842359431,4.584826816,4.34633,5.704692,5.978108258,1.148,2.159,2.203,2.203,2.203,2.203,2.203
Japan,40,38,44,39,46,51,52,55,60,63,67,77,82,85,82,91,100,101,104,109,112.199082,121.0592966,120.1748425,116.5688233,123.3917077,128.4547082,129.4195,132.4441534,133.9830383,137.4164658,142.5811096,136.5279315,127.7354372,138.2318274,134.0047233,139.4553904,136.1268479
Jordan,,,,,,,1.2,0.7,0.8,0.5,0.6,0.8,0.4,0.061145135,0.2,0.2,0.2,0.2,-0.2,-0.2,-0.485960847,-0.26654901,-0.175099576,-0.141724532,-0.36402078,-0.258589559,-0.128208952,0.08777,0.706464,0.614287337,0.162761891,0.505,0.451,0.451,0.451,0.451,0.451
Kazakhstan,--,--,--,--,--,--,--,--,--,--,--,--,443,407,416,415,459,522,527,605,725.6292235,835.971185,967.5143646,1061.973738,1245.866876,1337.173063,1387.865524,1445.649626,1430.941371,1541.566378,1608.71366,1637.326685,1605.60841,1658.004233,1719.067247,1751.423411,1698.332454
Kenya,1,1,1,1,1,1,-0.1,-0.08071099,-0.083132248,-0.028697183,-0.1,-0.1,-0.1,-0.2,-0.063413113,0.029486678,0.005943697,-0.05166139,0.010977281,-0.015328817,-0.054791662,-0.091837538,-0.165570568,-0.079924499,-0.263247206,-0.16089111,-0.317585324,-0.13615,-0.161778,-0.167422088,-0.058,-0.147,-0.064,-0.064,-0.064,-0.064,-0.064
"North Korea",,,,,,,0.6,0.6,0.4,0.5,0.6,0.7,0.9,0.9,0.7,0.6,0.3,0.3,0.8,0.6,0.668872641,0.140113677,0.141380833,0.138470336,0.14097403,0.120707579,0.092987321,0.11803,0.123294,0.090110446,0.137,0.135,0.135,0.135,0.135,0.135,0.135
"South Korea",,,,,-13,-9,-8.1,-7.4,-9.6,-12,-9.8,-21,-24,-23,-24,-22,-15,-0.7,11,5.5,14.01130601,14.7821863,21.91326301,14.58881918,16.91783607,17.24807123,21.293,30.03316438,41.65886885,54.6500274,58.47473699,59.78945753,74.79690164,78.883,88.95003836,96.86418082,96.86418082
Kosovo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,1760,1195,872,1127,1233,1086,1483,1664,1579,1878,1234,191,1084,1896,2114,2159,2154,2122,2206,2018,2200.733683,2125.595158,2029.910771,2268.313922,2515.382049,2671.9799,2671.512918,2603.425589,2727.895338,2505.942948,2449.105655,2680.692342,2783.587355,2798.642,2790.696795,2952.313233,3072.467137
Kyrgyzstan,--,--,--,--,--,--,--,--,--,--,--,--,2.3,2,1.6,2,2,1.8,1.7,1.7,2.029857799,2.010582056,1.509516855,1.358179697,1.364659792,1.95842609,1.97912119,0.94623,0.943084,0.999831884,0.96,0.955,0.961,0.961,0.961,0.961,0.961
Latvia,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0.2,0.3,0.3,0.5,0.9,1.2,1.1,1,1,1,1,1,1
Lebanon,,,,,,,-0.6,-0.054641574,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,
Libya,1827,1175,1190,1135,1124,1085,1062,999,1202,1183,1407,1521,1470,1400,1416,1428,1447,1504,1448,1377,1469.345313,1427.841531,1383.183181,1484.8877,1582.296718,1721.292521,1809.576675,1844.703185,1874.441804,1790.109338,1784.892,500.7631644,1482.473426,983.0458493,516.4568082,432.5116027,418.2247924
Lithuania,--,--,--,--,--,--,--,--,--,--,--,--,-0.5,3.6,5.2,5.6,6.5,7.1,9.5,8.3,9.550515417,13.48160876,13.43741522,12.36198317,11.4108364,9.833016153,8.374713412,7.61921,10.042071,9.453759568,9.710771003,9.084,8.825,8.825,8.825,8.825,8.825
"Macedonia (F.Y.R.O.M.)",--,--,--,--,--,--,--,--,--,--,--,--,-0.4,-0.2,0.055674292,-0.011596545,-0.024601763,-0.2,-0.1,-0.1,-0.145872808,-0.1896059,-0.129910432,-0.080056135,-0.078139348,-0.044870254,-0.043877784,-0.06623,-0.097317,-0.145702115,0.02,-0.05,0.01,0.01,0.01,0.01,0.01
Madagascar,,,,,,,-0.2,-0.088766473,-0.1,-0.073126895,-0.088408285,-0.1,-0.034724023,-0.034966925,-0.034017996,-0.031378545,-0.031680983,-0.031022933,-0.028695884,-0.028695884,0.069139635,0.084145742,0.089266399,0.090587752,0.092178869,0.084568662,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Malaysia,284,265,307,366,451,451,513,508,551,597,630,657,667,660,676,718,730,765,823,793,763.7091434,742.0985463,782.9174043,828.6818154,803.9330004,806.8511881,766.6186903,771.4442218,775.0474939,733.9163506,733.566774,669.4537411,675.3401093,651.7945205,676.9753425,730.1780822,740.9344262
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.02,0.02,0.02,,,,,,,
Martinique,,,,,,,0.029178402,0.026517349,0.025351196,0.048894263,0.016772745,0.01854566,0.018159362,-0.1,-0.092170493,-0.080524622,-0.078874095,-0.078345341,-0.076501679,-0.076501679,-0.075082434,-0.069921832,-0.06383012,-0.082461817,-0.089936166,-0.078499293,-0.097046042,-0.08079,-0.088151,-0.249228435,-0.249228435,-0.249,-0.249,-0.249,-0.249,-0.249,-0.249
Mauritania,,,,,,,,-0.3,0.2,0.1,0.1,0.1,-0.046660225,-0.1,-0.060424193,-0.096996338,-0.095317572,-0.09553872,-0.098479079,-0.098479079,-0.092658464,5.026,10.1446,15.2633,20.3819,25.5005,30.61917808,14.99178082,12.83333333,11.24521918,8.232232877,7.737641096,6.577076503,6.750410959,6.003005479,5.246575342,5
Mexico,2129,2554,3003,2954,3050,3027,2803,2898,2889,2913,2992,3149,3134,3140,3159,3075,3293,3422,3502,3354,3460.085205,3570.03017,3593.349249,3807.677515,3847.933161,3784.066721,3709.577767,3500.28969,3186.842525,3000.791167,2978.599436,2960.011074,2940.716557,2915.074507,2820.808501,2624.664918,2489.504625
Moldova,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,-0.009962,-0.024640142,-0.017310938,-0.014,-0.018,-0.018,-0.018,-0.018,-0.018
Mongolia,,,,,,,,,,,,,,,,,,,0.1,0.2,0.179,0.202,0.381,0.501,0.589,0.55,1.032,2.329,3.208,5.123,5.976,6.98329589,9.934508197,14.05149589,20.28802466,23.1765589,23.42622951
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
