Country,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
"Hong Kong",0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.018,0.022,0.026,0.03,0.036,0.042,0.048,0.054,0.06,0.072,0.084,0.096,0.108,0.12,0.136,0.152,0.168,0.184,0.2,0.224,0.248,0.272,0.296,0.32,0.336,0.352,0.368,0.384,0.4,0.436,0.472,0.508,0.544,0.58,0.614,0.648,0.682,0.716,0.75,0.78,0.81,0.84,0.87,0.9,0.99,1.08,1.17,1.26,1.35,1.408,1.466,1.524,1.582,1.64,1.71,1.78,1.85,1.92,1.99,2.088,2.186,2.284,2.382,2.48,2.546,2.612,2.678,2.744,2.81,2.842,2.874,2.906,2.938,2.97,3.016,3.062,3.108,3.154,3.2,3.24,3.28,3.32,3.36,3.4,3.498,3.596,3.694,3.792,3.89,3.958,4.026,4.094,4.162,4.23,4.292,4.354,4.416,4.478,4.54,4.61,4.68,4.75,4.82,4.89,4.938,4.986,5.034,5.082,5.13,5.168,5.206,5.244,5.282,5.32,5.308,5.296,5.284,5.272,5.26,5.26,5.26,5.26,5.26,5.26,5.364,5.468,5.572,5.676,5.78,5.794,5.808,5.822,5.836,5.85,5.86,5.87,5.88,5.89,5.9,5.91,5.92,5.93,5.94,5.95,5.954,5.958,5.962,5.966,5.97,5.974,5.978,5.982,5.986,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99
Hungary,1.77,1.806,1.842,1.878,1.914,1.95,2,2.05,2.1,2.15,2.2,2.256,2.312,2.368,2.424,2.48,2.534,2.588,2.642,2.696,2.75,2.816,2.882,2.948,3.014,3.08,3.144,3.208,3.272,3.336,3.4,3.502,3.604,3.706,3.808,3.91,3.908,3.906,3.904,3.902,3.9,3.954,4.008,4.062,4.116,4.17,4.204,4.238,4.272,4.306,4.34,4.38,4.42,4.46,4.5,4.54,4.588,4.636,4.684,4.732,4.78,4.854,4.928,5.002,5.076,5.15,5.26,5.37,5.48,5.59,5.7,5.81,5.92,6.03,6.14,6.25,6.366,6.482,6.598,6.714,6.83,6.85,6.87,6.89,6.91,6.93,6.95,6.97,6.99,7.01,7.03,7.06,7.09,7.12,7.15,7.18,7.226,7.272,7.318,7.364,7.41,7.442,7.474,7.506,7.538,7.57,7.598,7.626,7.654,7.682,7.71,7.662,7.614,7.566,7.518,7.47,7.47,7.47,7.47,7.47,7.47,7.534,7.598,7.662,7.726,7.79,7.818,7.846,7.874,7.902,7.93,7.932,7.934,7.936,7.938,7.94,7.876,7.812,7.748,7.684,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,0.84,0.854,0.868,0.882,0.896,0.91,0.924,0.938,0.952,0.966,0.98,1,1.02,1.04,1.06,1.08,1.1,1.12,1.14,1.16,1.18,1.202,1.224,1.246,1.268,1.29,1.314,1.338,1.362,1.386,1.41,1.51,1.61,1.71,1.81,1.91,1.994,2.078,2.162,2.246,2.33,2.406,2.482,2.558,2.634,2.71,2.728,2.746,2.764,2.782,2.8,2.874,2.948,3.022,3.096,3.17,3.24,3.31,3.38,3.45,3.52,3.598,3.676,3.754,3.832,3.91,3.992,4.074,4.156,4.238,4.32,4.396,4.472,4.548,4.624,4.7,4.76,4.82,4.88,4.94,5,5.01,5.02,5.03,5.04,5.05,5.064,5.078,5.092,5.106,5.12,5.148,5.176,5.204,5.232,5.26,5.284,5.308,5.332,5.356,5.38,5.39,5.4,5.41,5.42,5.43,5.444,5.458,5.472,5.486,5.5,5.512,5.524,5.536,5.548,5.56,5.57,5.58,5.59,5.6,5.61,5.622,5.634,5.646,5.658,5.67,5.676,5.682,5.688,5.694,5.7,5.704,5.708,5.712,5.716,5.72,5.748,5.776,5.804,5.832,5.86,6.036,6.212,6.388,6.564,6.74,6.746,6.752,6.758,6.764,6.77,6.778,6.786,6.794,6.802,6.81,6.816,6.822,6.828,6.834,6.84,6.844,6.848,6.852,6.856,6.86,6.866,6.872,6.878,6.884,6.89
India,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.046,0.052,0.058,0.064,0.07,0.076,0.082,0.088,0.094,0.1,0.104,0.108,0.112,0.116,0.12,0.136,0.152,0.168,0.184,0.2,0.214,0.228,0.242,0.256,0.27,0.284,0.298,0.312,0.326,0.34,0.364,0.388,0.412,0.436,0.46,0.476,0.492,0.508,0.524,0.54,0.558,0.576,0.594,0.612,0.63,0.642,0.654,0.666,0.678,0.69,0.704,0.718,0.732,0.746,0.76,0.774,0.788,0.802,0.816,0.83,0.84,0.85,0.86,0.87,0.88,0.892,0.904,0.916,0.928,0.94,0.956,0.972,0.988,1.004,1.02,1.038,1.056,1.074,1.092,1.11,1.16,1.21,1.26,1.31,1.36,1.394,1.428,1.462,1.496,1.53,1.552,1.574,1.596,1.618,1.64,1.718,1.796,1.874,1.952,2.03,2.098,2.166,2.234,2.302,2.37,2.422,2.474,2.526,2.578,2.63,2.676,2.722,2.768,2.814,2.86,2.93,3,3.07,3.14,3.21,3.262,3.314,3.366,3.418,3.47,3.524,3.578,3.632,3.686,3.74,3.784,3.828,3.872,3.916,3.96,3.998,4.036,4.074,4.112,4.15,4.186,4.222,4.258,4.294,4.33,4.36,4.39,4.42,4.45,4.48,4.504,4.528,4.552,4.576,4.6
Indonesia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.06,0.07,0.08,0.088,0.096,0.104,0.112,0.12,0.128,0.136,0.144,0.152,0.16,0.206,0.252,0.298,0.344,0.39,0.406,0.422,0.438,0.454,0.47,0.484,0.498,0.512,0.526,0.54,0.562,0.584,0.606,0.628,0.65,0.67,0.69,0.71,0.73,0.75,0.778,0.806,0.834,0.862,0.89,0.924,0.958,0.992,1.026,1.06,1.09,1.12,1.15,1.18,1.21,1.272,1.334,1.396,1.458,1.52,1.626,1.732,1.838,1.944,2.05,2.166,2.282,2.398,2.514,2.63,2.684,2.738,2.792,2.846,2.9,2.968,3.036,3.104,3.172,3.24,3.214,3.188,3.162,3.136,3.11,3.12,3.13,3.14,3.15,3.16,3.27,3.38,3.49,3.6,3.71,3.826,3.942,4.058,4.174,4.29,4.392,4.494,4.596,4.698,4.8,4.902,5.004,5.106,5.208,5.31,5.338,5.366,5.394,5.422,5.45,5.476,5.502,5.528,5.554,5.58,5.6,5.62,5.64,5.66,5.68,5.7,5.72,5.74,5.76,5.78,5.792,5.804,5.816,5.828,5.84,5.85,5.86,5.87,5.88,5.89
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.052,0.074,0.096,0.118,0.14,0.142,0.144,0.146,0.148,0.15,0.154,0.158,0.162,0.166,0.17,0.174,0.178,0.182,0.186,0.19,0.196,0.202,0.208,0.214,0.22,0.236,0.252,0.268,0.284,0.3,0.316,0.332,0.348,0.364,0.38,0.398,0.416,0.434,0.452,0.47,0.486,0.502,0.518,0.534,0.55,0.586,0.622,0.658,0.694,0.73,0.8,0.87,0.94,1.01,1.08,1.154,1.228,1.302,1.376,1.45,1.524,1.598,1.672,1.746,1.82,1.936,2.052,2.168,2.284,2.4,2.486,2.572,2.658,2.744,2.83,2.904,2.978,3.052,3.126,3.2,3.292,3.384,3.476,3.568,3.66,3.738,3.816,3.894,3.972,4.05,4.092,4.134,4.176,4.218,4.26,4.282,4.304,4.326,4.348,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.018,0.016,0.014,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.034,0.038,0.042,0.046,0.05,0.058,0.066,0.074,0.082,0.09,0.102,0.114,0.126,0.138,0.15,0.166,0.182,0.198,0.214,0.23,0.256,0.282,0.308,0.334,0.36,0.41,0.46,0.51,0.56,0.61,0.702,0.794,0.886,0.978,1.07,1.144,1.218,1.292,1.366,1.44,1.534,1.628,1.722,1.816,1.91,2.042,2.174,2.306,2.438,2.57,2.69,2.81,2.93,3.05,3.17,3.25,3.33,3.41,3.49,3.57,3.652,3.734,3.816,3.898,3.98,4.004,4.028,4.052,4.076,4.1,4.16,4.22,4.28,4.34,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,0.73,0.754,0.778,0.802,0.826,0.85,0.874,0.898,0.922,0.946,0.97,0.994,1.018,1.042,1.066,1.09,1.126,1.162,1.198,1.234,1.27,1.308,1.346,1.384,1.422,1.46,1.498,1.536,1.574,1.612,1.65,1.696,1.742,1.788,1.834,1.88,1.924,1.968,2.012,2.056,2.1,2.152,2.204,2.256,2.308,2.36,2.414,2.468,2.522,2.576,2.63,2.69,2.75,2.81,2.87,2.93,2.992,3.054,3.116,3.178,3.24,3.328,3.416,3.504,3.592,3.68,3.78,3.88,3.98,4.08,4.18,4.254,4.328,4.402,4.476,4.55,4.626,4.702,4.778,4.854,4.93,4.948,4.966,4.984,5.002,5.02,5.034,5.048,5.062,5.076,5.09,5.12,5.15,5.18,5.21,5.24,5.314,5.388,5.462,5.536,5.61,5.682,5.754,5.826,5.898,5.97,6.058,6.146,6.234,6.322,6.41,6.47,6.53,6.59,6.65,6.71,6.688,6.666,6.644,6.622,6.6,6.572,6.544,6.516,6.488,6.46,6.454,6.448,6.442,6.436,6.43,6.48,6.53,6.58,6.63,6.68,6.712,6.744,6.776,6.808,6.84,7.052,7.264,7.476,7.688,7.9,7.904,7.908,7.912,7.916,7.92,7.922,7.924,7.926,7.928,7.93,7.932,7.934,7.936,7.938,7.94,7.942,7.944,7.946,7.948,7.95,7.952,7.954,7.956,7.958,7.96
Italy,0.85,0.866,0.882,0.898,0.914,0.93,0.952,0.974,0.996,1.018,1.04,1.068,1.096,1.124,1.152,1.18,1.208,1.236,1.264,1.292,1.32,1.346,1.372,1.398,1.424,1.45,1.482,1.514,1.546,1.578,1.61,1.636,1.662,1.688,1.714,1.74,1.756,1.772,1.788,1.804,1.82,1.864,1.908,1.952,1.996,2.04,2.088,2.136,2.184,2.232,2.28,2.33,2.38,2.43,2.48,2.53,2.568,2.606,2.644,2.682,2.72,2.76,2.8,2.84,2.88,2.92,2.976,3.032,3.088,3.144,3.2,3.26,3.32,3.38,3.44,3.5,3.542,3.584,3.626,3.668,3.71,3.738,3.766,3.794,3.822,3.85,3.886,3.922,3.958,3.994,4.03,4.06,4.09,4.12,4.15,4.18,4.214,4.248,4.282,4.316,4.35,4.37,4.39,4.41,4.43,4.45,4.468,4.486,4.504,4.522,4.54,4.546,4.552,4.558,4.564,4.57,4.59,4.61,4.63,4.65,4.67,4.682,4.694,4.706,4.718,4.73,4.748,4.766,4.784,4.802,4.82,4.83,4.84,4.85,4.86,4.87,4.878,4.886,4.894,4.902,4.91,4.914,4.918,4.922,4.926,4.93,4.934,4.938,4.942,4.946,4.95,4.952,4.954,4.956,4.958,4.96,4.962,4.964,4.966,4.968,4.97,4.972,4.974,4.976,4.978,4.98,4.982,4.984,4.986,4.988,4.99
"Ivory Coast",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.032,0.044,0.056,0.068,0.08,0.09,0.1,0.11,0.12,0.13,0.142,0.154,0.166,0.178,0.19,0.2,0.21,0.22,0.23,0.24,0.252,0.264,0.276,0.288,0.3,0.298,0.296,0.294,0.292,0.29,0.292,0.294,0.296,0.298,0.3,0.304,0.308,0.312,0.316,0.32,0.39,0.46,0.53,0.6,0.67,0.676,0.682,0.688,0.694,0.7,0.708,0.716,0.724,0.732,0.74,0.752,0.764,0.776,0.788,0.8,0.828,0.856,0.884,0.912,0.94,0.984,1.028,1.072,1.116,1.16,1.206,1.252,1.298,1.344,1.39,1.434,1.478,1.522,1.566,1.61,1.656,1.702,1.748,1.794,1.84,1.944,2.048,2.152,2.256,2.36,2.454,2.548,2.642,2.736,2.83,2.892,2.954,3.016,3.078,3.14,3.198,3.256,3.314,3.372,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,0.68,0.7,0.72,0.74,0.76,0.78,0.806,0.832,0.858,0.884,0.91,0.954,0.998,1.042,1.086,1.13,1.186,1.242,1.298,1.354,1.41,1.47,1.53,1.59,1.65,1.71,1.758,1.806,1.854,1.902,1.95,2.006,2.062,2.118,2.174,2.23,2.266,2.302,2.338,2.374,2.41,2.434,2.458,2.482,2.506,2.53,2.554,2.578,2.602,2.626,2.65,2.668,2.686,2.704,2.722,2.74,2.758,2.776,2.794,2.812,2.83,2.868,2.906,2.944,2.982,3.02,3.052,3.084,3.116,3.148,3.18,3.204,3.228,3.252,3.276,3.3,3.326,3.352,3.378,3.404,3.43,3.446,3.462,3.478,3.494,3.51,3.532,3.554,3.576,3.598,3.62,3.696,3.772,3.848,3.924,4,4.068,4.136,4.204,4.272,4.34,4.388,4.436,4.484,4.532,4.58,4.632,4.684,4.736,4.788,4.84,4.86,4.88,4.9,4.92,4.94,4.97,5,5.03,5.06,5.09,5.122,5.154,5.186,5.218,5.25,5.28,5.31,5.34,5.37,5.4,5.42,5.44,5.46,5.48,5.5,5.506,5.512,5.518,5.524,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,0.53,0.548,0.566,0.584,0.602,0.62,0.644,0.668,0.692,0.716,0.74,0.774,0.808,0.842,0.876,0.91,0.976,1.042,1.108,1.174,1.24,1.268,1.296,1.324,1.352,1.38,1.43,1.48,1.53,1.58,1.63,1.68,1.73,1.78,1.83,1.88,1.956,2.032,2.108,2.184,2.26,2.34,2.42,2.5,2.58,2.66,2.768,2.876,2.984,3.092,3.2,3.264,3.328,3.392,3.456,3.52,3.59,3.66,3.73,3.8,3.87,3.928,3.986,4.044,4.102,4.16,4.218,4.276,4.334,4.392,4.45,4.514,4.578,4.642,4.706,4.77,4.844,4.918,4.992,5.066,5.14,5.17,5.2,5.23,5.26,5.29,5.31,5.33,5.35,5.37,5.39,5.404,5.418,5.432,5.446,5.46,5.48,5.5,5.52,5.54,5.56,5.574,5.588,5.602,5.616,5.63,5.644,5.658,5.672,5.686,5.7,5.712,5.724,5.736,5.748,5.76,5.772,5.784,5.796,5.808,5.82,5.83,5.84,5.85,5.86,5.87,5.876,5.882,5.888,5.894,5.9,5.904,5.908,5.912,5.916,5.92,5.924,5.928,5.932,5.936,5.94,5.944,5.948,5.952,5.956,5.96,5.962,5.964,5.966,5.968,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.972,5.974,5.976,5.978,5.98,5.98,5.98,5.98,5.98,5.98
Jordan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.148,0.156,0.164,0.172,0.18,0.246,0.312,0.378,0.444,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.614,0.618,0.622,0.626,0.63,0.65,0.67,0.69,0.71,0.73,0.748,0.766,0.784,0.802,0.82,0.866,0.912,0.958,1.004,1.05,1.132,1.214,1.296,1.378,1.46,1.582,1.704,1.826,1.948,2.07,2.164,2.258,2.352,2.446,2.54,2.612,2.684,2.756,2.828,2.9,2.936,2.972,3.008,3.044,3.08,3.138,3.196,3.254,3.312,3.37,3.462,3.554,3.646,3.738,3.83,3.924,4.018,4.112,4.206,4.3,4.372,4.444,4.516,4.588,4.66,4.724,4.788,4.852,4.916,4.98,5.048,5.116,5.184,5.252,5.32,5.39,5.46,5.53,5.6,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.05,0.07,0.09,0.11,0.13,0.148,0.166,0.184,0.202,0.22,0.234,0.248,0.262,0.276,0.29,0.354,0.418,0.482,0.546,0.61,0.622,0.634,0.646,0.658,0.67,0.684,0.698,0.712,0.726,0.74,0.752,0.764,0.776,0.788,0.8,0.814,0.828,0.842,0.856,0.87,0.894,0.918,0.942,0.966,0.99,1.012,1.034,1.056,1.078,1.1,1.128,1.156,1.184,1.212,1.24,1.28,1.32,1.36,1.4,1.44,1.472,1.504,1.536,1.568,1.6,1.686,1.772,1.858,1.944,2.03,2.106,2.182,2.258,2.334,2.41,2.528,2.646,2.764,2.882,3,3.112,3.224,3.336,3.448,3.56,3.662,3.764,3.866,3.968,4.07,4.128,4.186,4.244,4.302,4.36,4.396,4.432,4.468,4.504,4.54,4.592,4.644,4.696,4.748,4.8,4.784,4.768,4.752,4.736,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.058,0.066,0.074,0.082,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.238,0.286,0.334,0.382,0.43,0.456,0.482,0.508,0.534,0.56,0.58,0.6,0.62,0.64,0.66,0.694,0.728,0.762,0.796,0.83,0.86,0.89,0.92,0.95,0.98,1.016,1.052,1.088,1.124,1.16,1.21,1.26,1.31,1.36,1.41,1.456,1.502,1.548,1.594,1.64,1.67,1.7,1.73,1.76,1.79,1.746,1.702,1.658,1.614,1.57,1.638,1.706,1.774,1.842,1.91,1.952,1.994,2.036,2.078,2.12,2.152,2.184,2.216,2.248,2.28,2.292,2.304,2.316,2.328,2.34,2.404,2.468,2.532,2.596,2.66,2.734,2.808,2.882,2.956,3.03,3.044,3.058,3.072,3.086,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,0.03,0.034,0.038,0.042,0.046,0.05,0.054,0.058,0.062,0.066,0.07,0.076,0.082,0.088,0.094,0.1,0.11,0.12,0.13,0.14,0.15,0.162,0.174,0.186,0.198,0.21,0.226,0.242,0.258,0.274,0.29,0.308,0.326,0.344,0.362,0.38,0.41,0.44,0.47,0.5,0.53,0.552,0.574,0.596,0.618,0.64,0.662,0.684,0.706,0.728,0.75,0.828,0.906,0.984,1.062,1.14,1.19,1.24,1.29,1.34,1.39,1.426,1.462,1.498,1.534,1.57,1.624,1.678,1.732,1.786,1.84,1.904,1.968,2.032,2.096,2.16,2.236,2.312,2.388,2.464,2.54,2.594,2.648,2.702,2.756,2.81,2.858,2.906,2.954,3.002,3.05,3.11,3.17,3.23,3.29,3.35,3.384,3.418,3.452,3.486,3.52,3.566,3.612,3.658,3.704,3.75,3.794,3.838,3.882,3.926,3.97,3.996,4.022,4.048,4.074,4.1,4.148,4.196,4.244,4.292,4.34,4.39,4.44,4.49,4.54,4.59,4.648,4.706,4.764,4.822,4.88,4.962,5.044,5.126,5.208,5.29,5.23,5.17,5.11,5.05,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,0.04,0.042,0.044,0.046,0.048,0.05,0.054,0.058,0.062,0.066,0.07,0.072,0.074,0.076,0.078,0.08,0.084,0.088,0.092,0.096,0.1,0.106,0.112,0.118,0.124,0.13,0.136,0.142,0.148,0.154,0.16,0.176,0.192,0.208,0.224,0.24,0.256,0.272,0.288,0.304,0.32,0.33,0.34,0.35,0.36,0.37,0.394,0.418,0.442,0.466,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.47,0.46,0.45,0.44,0.432,0.424,0.416,0.408,0.4,0.406,0.412,0.418,0.424,0.43,0.432,0.434,0.436,0.438,0.44,0.438,0.436,0.434,0.432,0.43,0.438,0.446,0.454,0.462,0.47,0.488,0.506,0.524,0.542,0.56,0.584,0.608,0.632,0.656,0.68,0.698,0.716,0.734,0.752,0.77,0.832,0.894,0.956,1.018,1.08,1.16,1.24,1.32,1.4,1.48,1.554,1.628,1.702,1.776,1.85,1.904,1.958,2.012,2.066,2.12,2.126,2.132,2.138,2.144,2.15,2.196,2.242,2.288,2.334,2.38,2.428,2.476,2.524,2.572,2.62,2.696,2.772,2.848,2.924,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.016,0.022,0.028,0.034,0.04,0.048,0.056,0.064,0.072,0.08,0.084,0.088,0.092,0.096,0.1,0.118,0.136,0.154,0.172,0.19,0.202,0.214,0.226,0.238,0.25,0.26,0.27,0.28,0.29,0.3,0.308,0.316,0.324,0.332,0.34,0.35,0.36,0.37,0.38,0.39,0.402,0.414,0.426,0.438,0.45,0.468,0.486,0.504,0.522,0.54,0.562,0.584,0.606,0.628,0.65,0.714,0.778,0.842,0.906,0.97,1.062,1.154,1.246,1.338,1.43,1.532,1.634,1.736,1.838,1.94,2.07,2.2,2.33,2.46,2.59,2.718,2.846,2.974,3.102,3.23,3.334,3.438,3.542,3.646,3.75,3.814,3.878,3.942,4.006,4.07,4.13,4.19,4.25,4.31,4.37,4.412,4.454,4.496,4.538,4.58,4.614,4.648,4.682,4.716,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,0.04,0.042,0.044,0.046,0.048,0.05,0.052,0.054,0.056,0.058,0.06,0.062,0.064,0.066,0.068,0.07,0.074,0.078,0.082,0.086,0.09,0.096,0.102,0.108,0.114,0.12,0.126,0.132,0.138,0.144,0.15,0.156,0.162,0.168,0.174,0.18,0.188,0.196,0.204,0.212,0.22,0.228,0.236,0.244,0.252,0.26,0.272,0.284,0.296,0.308,0.32,0.334,0.348,0.362,0.376,0.39,0.408,0.426,0.444,0.462,0.48,0.612,0.744,0.876,1.008,1.14,1.258,1.376,1.494,1.612,1.73,1.826,1.922,2.018,2.114,2.21,2.358,2.506,2.654,2.802,2.95,3.054,3.158,3.262,3.366,3.47,3.534,3.598,3.662,3.726,3.79,3.908,4.026,4.144,4.262,4.38,4.51,4.64,4.77,4.9,5.03,5.12,5.21,5.3,5.39,5.48,5.482,5.484,5.486,5.488,5.49,5.486,5.482,5.478,5.474,5.47,5.472,5.474,5.476,5.478,5.48,5.478,5.476,5.474,5.472,5.47,5.466,5.462,5.458,5.454,5.45,5.462,5.474,5.486,5.498,5.51,5.526,5.542,5.558,5.574,5.59,5.596,5.602,5.608,5.614,5.62,5.622,5.624,5.626,5.628,5.63,5.634,5.638,5.642,5.646,5.65,5.656,5.662,5.668,5.674,5.68,5.686,5.692,5.698,5.704,5.71,5.718,5.726,5.734,5.742,5.75
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.042,0.064,0.086,0.108,0.13,0.15,0.17,0.19,0.21,0.23,0.246,0.262,0.278,0.294,0.31,0.33,0.35,0.37,0.39,0.41,0.428,0.446,0.464,0.482,0.5,0.52,0.54,0.56,0.58,0.6,0.622,0.644,0.666,0.688,0.71,0.732,0.754,0.776,0.798,0.82,0.848,0.876,0.904,0.932,0.96,0.976,0.992,1.008,1.024,1.04,1.05,1.06,1.07,1.08,1.09,1.122,1.154,1.186,1.218,1.25,1.302,1.354,1.406,1.458,1.51,1.566,1.622,1.678,1.734,1.79,1.886,1.982,2.078,2.174,2.27,2.356,2.442,2.528,2.614,2.7,2.734,2.768,2.802,2.836,2.87,2.896,2.922,2.948,2.974,3,3.074,3.148,3.222,3.296,3.37,3.53,3.69,3.85,4.01,4.17,4.214,4.258,4.302,4.346,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.044,0.048,0.052,0.056,0.06,0.064,0.068,0.072,0.076,0.08,0.102,0.124,0.146,0.168,0.19,0.214,0.238,0.262,0.286,0.31,0.332,0.354,0.376,0.398,0.42,0.446,0.472,0.498,0.524,0.55,0.6,0.65,0.7,0.75,0.8,0.846,0.892,0.938,0.984,1.03,1.068,1.106,1.144,1.182,1.22,1.256,1.292,1.328,1.364,1.4,1.438,1.476,1.514,1.552,1.59,1.634,1.678,1.722,1.766,1.81,1.852,1.894,1.936,1.978,2.02,2.094,2.168,2.242,2.316,2.39,2.464,2.538,2.612,2.686,2.76,2.874,2.988,3.102,3.216,3.33,3.396,3.462,3.528,3.594,3.66,3.738,3.816,3.894,3.972,4.05,4.126,4.202,4.278,4.354,4.43,4.498,4.566,4.634,4.702,4.77,4.82,4.87,4.92,4.97,5.02,5.064,5.108,5.152,5.196,5.24,5.27,5.3,5.33,5.36,5.39,5.424,5.458,5.492,5.526,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.042,0.054,0.066,0.078,0.09,0.092,0.094,0.096,0.098,0.1,0.104,0.108,0.112,0.116,0.12,0.124,0.128,0.132,0.136,0.14,0.146,0.152,0.158,0.164,0.17,0.172,0.174,0.176,0.178,0.18,0.19,0.2,0.21,0.22,0.23,0.238,0.246,0.254,0.262,0.27,0.294,0.318,0.342,0.366,0.39,0.418,0.446,0.474,0.502,0.53,0.558,0.586,0.614,0.642,0.67,0.692,0.714,0.736,0.758,0.78,0.8,0.82,0.84,0.86,0.88,0.908,0.936,0.964,0.992,1.02,1.09,1.16,1.23,1.3,1.37,1.386,1.402,1.418,1.434,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
