Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Luxembourg,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Latvia,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Morocco,,,,,,45.44,38.4075,31.375,24.3425,17.31,20.0133,22.7167,25.42,24.8,24.49,24.88,19.21,13.54,10.82,10.04,8.85,7.62,13.01,11.71,4.11,3.565,3.02,3.42,3.78,3.86,
Moldova,,,,,,,,,1.89,2.0025,2.115,2.2275,2.34,2.9,3.135,3.37,3.08,3.23,1.68,2.7,2.02,3.21,2.28,3.35,2.61,5.71,2.53,3.39,3.54,,
Madagascar,,,,,,,,5.18,4.6,5.31,4.73,4.615,4.5,3.47,2.72,3.32,1.74,5.89,9.54,8.48,8.51,7.89,6.32,6.37,6.18,6.39,5.99,9.35,7.86,6.83,7.74
Maldives,,,,,,,,,,,,,20.45,20.22,19.87,20.68,19.84,21.09,21.23,20.74,20.25,19.91,19.71,20.75,6.45,6.96,7.59,11.13,11.16,12.04,11.39
Mexico,,,,11.91,10.745,9.58,8.415,7.25,14.02,13.08,13.05,6.59,15.15,15.24,5.03,15.44,3,3,2.39,2.41,1.87,1.61,5.37,5.37,5.17,4.87,1.02,4.45,4.35,1.24,1.21
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,9.29,7.74,7.915,8.09,3.71,4.45,5.76,3.59,3.39,2.92,2.22,2.07,7.14,2.26,1.21,3.96,1.92,1.94
Mali,,,,,,,,2.94,10.35,10.35,10.35,6.68,8.66,10.64,10.77,10.9,10.96,10.41,8.31,8.44,8.44,8.46,8.46,7.78,7.43,7.43,7.43,6.22,6.22,10.04,9.42
Malta,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
