Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Iraq,2319,2411,2000,2724,3179,2911,3127,3730,4242,4637,4153,4360,4274,5256,4949,4694,4159,2861,3803,3650,4272,4062,3391,4913,3830,4078,4060,5021,4201,4934,4876,5440,4532,4264,4068,5714,4923,4402,4952,5570,5652,5963,5947,6000,3759,3933,6061,5263,6255,7583,8865,8500,8621
Israel,8672,9716,10859,12242,12321,11354,9691,10940,11971,10106,10842,11590,10859,11701,11882,12370,11609,12058,11959,12558,15615,15751,16192,14084,15320,14444,13956,12971,13130,16048,16173,17280,16677,14562,17416,18345,18442,17417,15571,14363,15253,16055,14042,17361,14696,15926,16818,17215,18066,18205,19699,17626,18062
Italy,4300,4233,5750,5019,5222,5858,5216,5286,4124,3239,2768,1813,1769,1614,1161,879,508,845,1024,1112,306,956,1049,1422,1242,570,1214,1378,2109,1560,1250,1718,2872,2768,2568,2632,1500,6287,8275,8842,9447,15052,20050,19391,14194,12308,14595,12727,20759,40643,8113,44125,114262
Jamaica,5848,5722,5707,5610,9289,7615,7708,7323,7308,7308,7308,7308,7385,7385,7462,7462,7538,7538,7615,7615,7692,7692,7692,7692,7692,7692,7692,7692,7692,7207,6734,6953,7176,7401,7629,7860,8094,8331,8571,8814,9060,9350,9854,9979,10043,10107,10170,10426,10890,11310,11705,12167,12167
Japan,6238,6556,6204,6350,7099,5498,6477,6347,6222,5600,5600,5686,5686,5773,5823,5946,5946,5882,5882,5357,5357,5000,5000,5854,4828,5357,5484,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6835,5474,6593,6422,7710,6512,5448,4723,6289,6124,5384,6750,6373,7771,7384,5526,6492,7059,6899,7194,9067,9493
Kenya,5792,5044,5810,5194,5069,4710,4467,4552,4749,3653,4796,4458,6037,8611,3822,3251,3335,2379,3415,2868,3090,3924,3831,3170,2559,2704,3308,5335,4726,4911,5195,4614,4412,5133,5048,7189,6007,4383,3975,3748,3449,4884,4440,4135,4569,3271,2777,3098,3461,5170,5663,4658,5854
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6364,6404,6375,5348,6754,9996,7200,7099,8503,8510,8727,8639,8647,8644,8483,8631,9617,9585,9210,8971,9054,9302
Laos,3208,4186,4186,3043,3556,3354,3298,4327,4719,5030,5615,3848,3571,5501,7368,7369,7633,2444,2939,7156,7324,7566,7334,7546,5977,7263,9045,7258,6930,8070,6884,7832,8647,9543,10031,8442,10881,11521,11707,11780,12268,11874,13726,13155,14179,13513,12333,13646,14270,13834,15224,16588,15728
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868,1667,2667,5714,6077,6000,6091,10650,6875,6000,6667,4444,6154,5714,16667,27500,4000,20000,38182,21277,32500,25000
