Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,0.146,0.17,0.185,0.151,0.161,0.205,0.246,0.267,0.303,0.346,0.369
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.01,1.178,1.02,1.076,0.867,1.229,0.861,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,0.00001,0.00003,0.00003,0.00003,0.00003,0.0001,0.0002,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,0.01,0.029,0.036,0.077,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.025,
Mauritius,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.5,0.4,0.4,0.5,0.4004,0.4004,0.4004,0.4864,0.486,0.553,0.496,0.504,0.497,0.48,
Mexico,0.9,0.9,1.3,1.4,1.4,1.6,3.4,4.3,4.7,4.7,5.1,6.9,7.9,8.2,7.9,8.5,7.4,7,7.5,7.2,7.6,8.1,7.9,8.8,9.1,10.428,9.069,10.109,8.117,7.943,8.646,8.919,10.746,11.688,14.08,15.882
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.015,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,0.000412483,0.000412483,0.000412483,0.0024,0.0024,0.0024,0.0044,0.0472,0.09,0.17,
Morocco,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2001,0.2001,0.3001,0.3001,0.4001,0.6591,0.6901,0.728,1.481,1.92,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.011,0.012,0.017,0.023,0.03,0.038,0.048,
Netherlands,1,1,0.3,0.2,0.3,0.4,0.5,0.7,0.8,0.9,1.1,1.2,1.2,1.5,1.7,1.9,2.6,3,3.3,3.6,4,4.4,5,5.2,6.5,8.834,9.335,8.935,10.934,12.269,12.659,13.991,14.171,13.773,13.23,15.179
"Antilles (Netherlands)",,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.06,0.06,0.06,,,,
"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.04,0.03,0.03,0.057,0.056,0.055,0.056,0.057,
"New Zealand",1.5,1.4,1.4,1.5,1.6,1.5,1.5,1.5,1.6,2.2,2.6,2.8,2.8,2.9,2.7,2.7,2.7,2.8,3.1,3.3,3.6,3.4,3.4,3.3,3.7,4.3,4.6,5.1,5.864,6.997,8.135,8.695,8.91,9.085,10.12,10.877
Nicaragua,,,,0.1,0.3,0.3,0.2,0.2,0.2,0.4,0.4,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.5,0.5,0.4,0.638,0.763,0.845,0.855,1.307,1.724,2.002,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.004,
Norway,,,,,,,,,,,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.7,0.91,1.02,1.42,1.384,1.302,1.353,1.786,2.075,2.392,2.606,2.929
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.018,0.209,0.4,0.4,
Panama,,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0955,0.0909,0.0864,0.0819,0.0774,0.0728,0.0683,0.0638,0.0592,0.0547,0.0502,0.0456,0.0411,0.0366,0.0321,0.0275,0.023,0.072,0.076,0.016,0.023,0.022,0.023,0.026,0.035,0.152,
"Papua New Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.4,0.4,0.4,0.4,0.4,,,,
Peru,0.1,0.15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.40105,0.40105,0.50105,0.46105,0.46105,0.67405,0.67605,0.689,1.026,1.567,
Philippines,2,2.6,3.4,3.9,4.3,4.7,4.3,4.3,4.6,5.1,5.5,5.8,5.7,5.7,6.3,6.1,6.5,7.2,8.9,11,12,10,10,9.8,10,9.919,10.054,10.059,11.062,10.065,9.99,10.149,10.508,9.888,10.676,
Poland,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.5,0.6,0.8,0.9,0.8,1.3,1.8,2.5,3.3,4.418,6.327,8.0145,10.8435,14.872,14.658,17.714,20.901
Portugal,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1,1,1.3,1.8,2,2.1,2.2,2.6,3.874,4.99,6.424,8.181,10.344,12.535,12.895,14.002,16.035,16.239,15.753
Reunion,,,,,,,,,,,,,,,,,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.211,0.215,0.02,0.03,0.03,0.03,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.004,0.038,0.029,0.02,0.419,1.59,2.86,5.092,8.325,
Russia,,,,,,,,,,,,,1.9,1.8,1.6,1.6,1.6,1.5,1.5,2.1,2.5,2.9,3,2.1,2.2,3.007,3.205,2.507,3.049,3.147,3.278,3.304,3.519,3.371,3.67,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,0.0002,0.0002,0.0002,0.0002,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,0.0002,0.0002,0.0002,0.0002,,,,
"Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.04,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.054,0.04,0.043,0.053,0.077,0.08,0.049,0.063,0.066,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.025,0.032,
Singapore,,,,,,,,,,,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9,1,1,0.9,1,1,1.048,1.064,1.179,1.213,1.263,1.374,1.451,
Slovakia,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.1,0.081,0.062,0.406,0.508,0.542,0.5592,0.709,1.247,1.392,1.529,2.045,1.936
Slovenia,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.293,0.196,0.236,0.326,0.436,0.488,0.526,0.547
"South Africa",,,,,,,,,,,,,,,,,,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.353,0.353,0.353,0.33,0.334,0.336,0.35,0.363,0.578,2.493,
Spain,0.3,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,1,1.6,1.9,2.8,3.6,5.2,6.8,8.8,12.2,15.5,19.6,24.141,26.5,32.108,39.615,48.313,56.13,57.724,67.132,75.227,71.773,70.868
"Sri Lanka",,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.019,0.019,0.027,0.043,0.103,0.141,0.188,0.286,0.331,
Sudan,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,
Sweden,0.7,0.9,1,1.4,1.8,1.7,1.9,1.9,2,2.2,2,1.9,2.1,2.2,2.3,2.4,2.3,3,3.3,3.3,4.8,4.5,5,5.5,8.9,9.302,10.402,12.403,13.229,14.716,16.908,19.021,20.638,22.618,23.202,27.195
Switzerland,0.2,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.8,0.8,0.9,0.9,1,1.1,1.2,1.4,1.5,1.6,1.7,1.8,1.9,1.9,2,2.127,2.338,2.343,2.442,2.446,2.545,2.749,3.129,3.454,3.945,4.018
Taiwan,,,,,,,,,,,0.4,0.5,0.5,0.5,0.6,0.7,0.9,0.7,0.9,1.2,1.7,2.2,2.8,2.9,3,3.092,3.401,3.802,4.106,4.222,4.704,5.151,5.064,5.501,5.735,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.025,0.032,0.036,0.04,
