Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Sierra Leone",,,,,,,,,,,,,57.4,56.3214,55.2429,54.1643,53.0857,52.0071,50.9286,49.85,48.7714,47.6929,46.6143,45.5357,44.4571,43.3786,42.3,41.775,41.25,40.725,40.2,39.675,39.15,38.625,38.1,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,0.6,0.5375,0.475,0.4125,0.35,0.2875,0.225,0.1625,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.6,,
Slovenia,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
"Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,33.0375,31.375,29.7125,28.05,26.3875,24.725,23.0625,21.4,,,
"South Africa",,,,,,,,,,,,,,,,,21.6,23.0333,24.4667,25.9,25.5,25.1,24.7,24.3,23.6333,22.9667,22.3,21.6333,20.9667,20.3,17.15,14,13.9333,13.8667,13.8,,,,,
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.7,0.5,0.7,0.7,1.1,0.8,1,0.8,,
"Sri Lanka",,,,,,,,,13.4,12.94,12.48,12.02,11.56,11.1,11.06,11.02,10.98,10.94,10.9,10.7286,10.5571,10.3857,10.2143,10.0429,9.8714,9.7,8.65,7.6,6.55,5.5,4.9667,4.4333,3.9,3.7333,3.5667,3.4,,,,
"Saint Lucia",,,,,,,,,,,,,,,,,,,28.4,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,23.7,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,66.1,60.9833,55.8667,50.75,45.6333,40.5167,35.4,35.0333,34.6667,34.3,33.9333,33.5667,33.2,32.8333,32.4667,32.1,,,,,,,
