Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.2,1.3,1.2,2,1.9,1.6,2.4,2.3,1.3,1.3,2.3,2.2,2.2,3.6,2.4,2.6,2.6,2.8,2.4,2.5,2.8,3.7,3.9,3.6,3.3,3.7,3.3,3.4,4.7,3.9,3.6,4.5,4.2,4.6
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.6,3.6,2.9,3.5,2.5,3,3.2,3.1,2.5,3,3,2.8,2.1,2.8,2.5,2.4,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.2,1.7,1.4,2.3,1.8,1.2,0.9,1.3,2.4,1,1.7,2.7,2.2,2.2,1.9,2.1,2.2,2.7,2.3,1.5,2.1,2.6,2.5,2,1.9,,,
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.6,3.6,3.8,3.9,3.8,3.6,3.3,3.2,3.1,2.9,3,2.6,2.5,2.6,2.4,2.3,2.3
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,4.9,10.4,10.4,10.4,10,9.5,9.2,8.7,8.4,8.4,8.5,9,8.8,8.2,7.9,7.5,7.5,7.2,6.9,6.7,6.1,6.1,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,5.3,5.3,3.5,0.9,0.7,0.8,1.2,1.3,1.4,1.4,1.3,1.6,1.6,1.6,1.8,1.8,1.8,1.8,2.9,2.7,2.6,2.7,2.5,2.5,2.3,2.3,2.2,2.3,2.4,2.3,2.1,2.3,2.3
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1.8,1.35,0.9,1.3,1.7,1.4,0.9,0.7,0.4,0.8,1.9,1.6,1.3,1.7,2.1,2.5,2.2,3.75,5.3,1.7,2.4,2.4,4.7,6.4,4.5,3.9,3.3,1.2,4.4,3.5,2.4,2,3.6,
Sweden,,,,0.7,0.6,0.7,0.6,0.8,0.6,0.6,0.7,0.5,0.6,0.7,0.7368,0.7737,0.8105,0.8474,0.8842,0.9211,0.9579,0.9947,1.0316,1.0684,1.1053,1.1421,1.1789,1.2158,1.2526,1.2895,1.3263,1.3632,1.4,1.6,1.4,1.8,1.3,1.4,1.5,1.7,1.5,1.8,2.5,2.3,2.2,1.9,2.1,2,2.3,1.8,1.8,2.1,1.6,1.8,1.9,1.8,1.6,1.6,2.1
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,6.7,5.5,5.6,7.3,7.3,8.1,8.85,9.6,10.8,10.5,9.8,10.2,,,,,,,
"Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.8,0.9,0.8,1.1,1,0.4,0.7,0.6,0.9,0.8,1,1.2,1.5,0.9,0.7,0.7,0.6,0.7,0.8,2.2,2.7,1.3,2.7,2.35,2,1.7,1.8,2.1,1.5,3,,,,
"United States",,,,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.5083,0.5167,0.525,0.5333,0.5417,0.55,0.5583,0.5667,0.575,0.5833,0.5917,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1,1.1,1.1,1.1,1.1,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2,2.1,,,
Uruguay,,,,,,,,,,,,2,1.3,1.2385,1.1769,1.1154,1.0538,0.9923,0.9308,0.8692,0.8077,0.7462,0.6846,0.6231,0.5615,0.5,0.4,0.1,0.4,0.5,0.4,0.6,0.3,0.1,0.2,0.3,0.2667,0.2333,0.2,0.3,0.2,0.3,0.7,0.7,0.5,0.9,1.1,0.5,0.8,0.7,1,0.7,0.8,0.8,1.1,1,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.2,,,,,,,,
Venezuela,,,,2.7,4.3,4.3,4,3.5,2.4,2.5,2.5,2.3,2.4,2.5333,2.6667,2.8,2.9333,3.0667,3.2,3.3333,3.4667,3.6,3.7333,3.8667,4,3.4,1.5,1.2,1.2,1.1,1,1.3,1.6,0.9,0.9,1,0.9,0.8,0.6,0.6,2.3,4,3.8,3.9,3.7,3.3,3.6,3.4,3.4,3.5,3.1,3.1,3.1,3,3.3,,,,
