Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453649,375212,319661,304336,288224,326586,353300,321000,329423,274162,260155,263166,260979,282094,280235,292236,309300,316413,275274,296924,290500,311100,332900
Ethiopia,5882000,6093000,6113700,6156100,6228600,6290300,6348600,6424300,6499800,6580200,6670300,6429500,5282000,5351000,4464500,4426300,4230000,4454800,4631000,5079000,4711820,4629430,5029230,4715860,4814680,4991450,4950900,5054810,4891260,4957410,4444010,4356060,,,,,,,,,,,,,,,,,,,,,,
Fiji,13060,12857,12263,10319,8287,8571,9819,10898,10813,11548,9376,9295,8454,9207,10395,9456,9572,9224,9871,9813,8919,10074,9731,11321,12165,12031,12655,14129,13761,13057,12765,10901,10039,8512,7674,9223,8662,8516,6673,5827,6361,5727,7102,6615,6794,6000,5733,5397,4333,3524,3675,2401,3065,2998
Finland,1029808,1059191,1056400,1124700,1131000,1131900,1180800,1191900,1156900,1196900,1212100,1228000,1247500,1306300,1310900,1360200,1192300,1232700,1235500,1170900,1164900,1169500,1219000,1192000,1254000,1196700,1136700,1214400,1193800,1212600,1024300,914500,926200,947700,977700,1079400,1117700,1157000,1134000,1172700,1160200,1195100,1192900,1127100,1185800,1152400,1131500,1193900,1133100,954200,1045700,1036300,1102000,1118743
France,9140300,9408120,9159745,9226542,9377274,9194306,9303635,9307842,9375548,9318100,9544110,9710900,9768200,9827100,9666100,9512100,9704305,9816421,9802300,9893542,9714700,9719100,9373400,9728400,9696400,9501600,9277452,9221092,9444447,9060354,9228386,9346036,8540396,8163350,8291655,8840425,9206544,9290795,8853264,9074804,8938342,9327017,8956710,9354603,9182257,9014216,9055776,9618253,9392858,9762118,9659028,9434227,9532772,9605515
"French Guiana",245,353,50,57,57,100,55,20,45,175,280,275,350,350,350,400,750,820,1250,450,510,445,965,1565,2054,2604,3186,3626,4022,5104,6741,7449,7449,7776,8042,8944,9322,9012,7663,8816,8336,8304,6049,8906,8990,8928,3811,2947,3519,3159,1815,1825,1900,2172
Gabon,5850,5980,5740,5894,5876,5850,5850,5850,5630,5865,5900,4500,5150,5600,5550,5650,6000,6580,6800,7100,7200,7600,8400,8839,9290,14290,15100,15740,14180,14900,14501,16364,17198,18395,18906,18425,15940,17140,17372,16500,16995,17303,20872,20111,22514,21017,20456,22536,25048,25560,26572,27120,27620,27867
Gambia,83994,89125,78530,80559,80761,81000,72500,85637,83709,86327,87327,82800,78500,55800,53900,46600,47900,57700,40100,52900,67700,75800,54500,60300,91960,79970,82700,83710,86962,89978,100288,78303,82248,82735,96035,94651,107925,103813,117050,135900,156083,145021,170516,191203,197607,209731,188102,240539,295700,321901,210923,246366,237228,234126
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248500,227797,233502,233152,252754,404684,369521,365395,306616,349670,355719,347198,330792,338185,202130,198022,223370,196900,173200,183847,172567,222950,220950
Germany,7138919,7145685,7168885,7285822,7229500,7207233,7286316,7431223,7499085,7470600,7571500,7633527,7662538,7743113,7805553,7816354,7800601,7878846,7723359,7737979,7614540,7583943,7582053,7512692,7403403,7327154,7157693,7138343,7087608,6944862,6559820,6514452,6225212,6235246,6526735,6707515,7024879,7031633,6638210,7015663,7045731,6940982,6839431,6946946,6839000,6702200,6571690,7038419,6918445,6595925,6490900,6517900,6526000,6460700
Ghana,534518,520000,497756,514672,480680,594200,639305,608229,649182,999200,956300,834400,884700,930000,804900,843400,768000,645000,924000,939000,843000,822000,835000,1276000,1034000,880100,1126600,1045800,1168600,853000,1176400,1203500,1227200,1200700,1327000,1274130,1262929,1340140,1299931,1306632,1371449,1597603,1461534,1332720,1360035,1438036,1270218,1437191,1570744,1602099,1642866,1634973,1625970,1632045
Greece,1772952,1758547,1644087,1766280,1779520,1716990,1690617,1708430,1635540,1601300,1633500,1565942,1519700,1566300,1549300,1538400,1506100,1543800,1576490,1606400,1618400,1618255,1571900,1533050,1489490,1467152,1475856,1456030,1448664,1470345,1499200,1396100,1366997,1357004,1307144,1321363,1311722,1286434,1247840,1274201,1284383,1288894,1275369,1261480,1263683,1195597,1173375,1188696,1173837,886300,1160531,1134447,1119139,1041465
Grenada,630,630,630,630,630,620,620,620,600,600,570,520,450,554,500,540,630,730,606,500,450,470,414,414,410,250,250,250,255,260,265,330,390,350,360,330,300,284,264,311,311,326,323,315,320,300,320,326,333,342,351,350,400,398
Guadeloupe,677,700,720,500,250,243,448,253,400,450,500,500,500,500,150,100,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,50,50,50,50,30,2,4,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,6,5,7,8,9,10,10,10,10,10,11,11,12,12,13,13,14,14,15,15,15,15,16,15,17,18,18,19,20,20,21
Guatemala,694998,715445,778597,795959,759650,747690,789864,780814,782095,757427,754153,758295,570273,655675,651477,727213,737365,698389,630960,746640,769250,746540,663268,712590,772780,785970,856670,734830,696056,718498,763420,822740,797640,684438,608985,638856,640314,694065,652920,654730,656610,668580,703250,743700,843620,846619,620383,724611,891656,860257,877346,886899,901925,911521
Guinea,343985,349445,350145,363095,357310,351795,358570,354640,369020,376730,384775,392170,400615,410350,420500,431140,447060,462940,484300,506155,518535,531460,548955,588760,604755,623110,628645,653258,688490,729607,773242,819754,865540,892694,928700,973486,1020807,1070825,1123737,1206934,1160412,1241115,1335963,1432422,1531176,1627913,1718070,1870805,1773107,2414697,2449107,2810995,2882861,2704165
"Guinea Bissau",97000,101000,101000,120000,100000,95000,83500,76000,69000,69000,68000,69500,76000,93000,122000,140000,134000,117000,127000,133000,166000,233000,208300,179000,127000,118000,100000,84809,97276,109273,110824,117166,126253,136322,143009,127759,126040,121086,140175,162150,160893,141900,130247,133022,138540,135647,136586,145602,139863,155224,142033,169490,198366,126389
Guyana,107461,100060,81519,149581,120530,138360,117929,115822,114202,112100,102990,81867,94625,116977,137035,99685,139000,116700,91316,95974,88770,97691,76616,98266,78879,85292,77242,76389,72330,53262,77441,84117,104256,104178,135757,138082,145325,131400,149153,119122,126115,109117,132400,120100,109900,105100,110500,122800,128502,134625,143595,146307,167710,188302
Haiti,452000,453000,453000,459000,460000,462000,468000,463000,480000,483000,487000,491000,429000,390000,378000,360000,402232,465843,444450,413000,391000,376000,410000,415000,440369,480140,476220,489911,466000,351500,405000,462879,445000,460000,443844,423200,488000,440673,490000,462000,439200,408500,414300,426200,423800,431000,541800,437000,556500,642614,632393,409908,578678,581941
